Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
::CP01_AC00_Buscar_Vuelos,1119,0.00,8457.00,491.04,520.00,570.10,0,0.00,0.62
::CP02_AC00_SeleccionaVuelo,1116,0.00,8947.00,397.05,380.00,623.87,0,0.00,0.62
::CP03_AC00_Comprar_Vuelo,1113,247.00,9232.00,755.39,798.00,826.56,137,12.31,0.62
CP04_AC00_Home,970,0.00,5117.00,368.72,397.00,416.63,0,0.00,0.54
CP01_AC01_Buscar,1116,300.00,8457.00,492.36,520.00,570.30,0,0.00,0.62
CP02_AC01_SeleccionaVuelo,1115,218.00,8947.00,397.41,380.00,624.04,0,0.00,0.62
CP03_AC01_Comprar_Vuelo_Pursache,1113,220.00,7615.00,378.23,380.00,487.16,46,4.13,0.62
CP03_AC02_Comprar_Vuelo_Confirmacion,1061,228.00,7162.00,395.43,413.00,490.50,91,8.58,0.59
CP04_AC01_Home,962,225.00,5117.00,371.79,398.00,416.99,0,0.00,0.54
Total,5367,218.00,8947.00,407.04,418.20,517.80,137,2.55,2.99
