Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC00_Buscar_Vuelos::,876,0.00,9263.00,478.29,486.00,721.09,0,0.00,0.49
CP02_AC00_SeleccionaVuelo::,867,0.00,1639.00,314.09,372.00,80.71,0,0.00,0.48
CP03_AC00_Comprar_Vuelo::,865,256.00,1878.00,638.43,746.00,120.25,4,0.46,0.48
CP99_AC00_Home::,857,223.00,1198.00,318.72,380.00,76.29,0,0.00,0.48
CP01_AC01_Buscar,867,301.00,9263.00,483.25,486.00,723.16,0,0.00,0.48
CP02_AC01_SeleccionaVuelo,866,215.00,1639.00,314.46,372.00,80.05,0,0.00,0.48
CP03_AC01_Comprar_Vuelo_Pursache,865,217.00,1072.00,314.03,376.00,71.42,0,0.00,0.48
CP03_AC02_Comprar_Vuelo_Confirmacion,861,224.00,989.00,325.90,383.00,79.58,4,0.46,0.48
CP99_AC01_Home,857,223.00,1198.00,318.72,380.00,76.29,0,0.00,0.48
Total,4316,215.00,9263.00,351.27,399.40,206.10,4,0.09,2.40
