Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC00_Buscar_Vuelos::,1003,0,8632,422,453,317,0,0.00,0.56
CP01_AC01_Buscar,1001,328,8632,423,453,316,0,0.00,0.56
CP02_AC00_SeleccionaVuelo::,1001,0,823,301,341,50,0,0.00,0.56
CP02_AC01_SeleccionaVuelo,998,228,823,302,342,47,0,0.00,0.56
CP03_AC00_Comprar_Vuelo::,993,290,1386,629,720,87,18,1.81,0.56
CP03_AC01_Comprar_Vuelo_Pursache,993,232,1069,310,359,59,0,0.00,0.56
CP03_AC02_Comprar_Vuelo_Confirmacion,990,249,768,320,372,54,18,1.82,0.56
CP04_AC00_Home::,972,0,740,312,356,59,0,0.00,0.55
CP04_AC01_Home,970,233,740,313,356,58,0,0.00,0.55
Total,4952,228,8632,334,376,107,18,0.36,2.79
