Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC00_Buscar_Vuelos::,469,0,2026,446,577,150,0,0.00,0.39
CP01_AC01_Buscar,466,340,2026,449,577,146,0,0.00,0.39
CP02_AC00_SeleccionaVuelo::,466,0,658,321,381,63,0,0.00,0.39
CP02_AC01_SeleccionaVuelo,464,233,658,323,381,59,0,0.00,0.39
CP03_AC00_Comprar_Vuelo::,462,288,1219,652,786,109,0,0.00,0.39
CP03_AC01_Comprar_Vuelo_Pursache,463,240,676,315,363,70,0,0.00,0.39
CP03_AC02_Comprar_Vuelo_Confirmacion,460,247,698,338,399,63,0,0.00,0.39
CP04_AC00_Home::,460,0,927,323,386,75,0,0.00,0.39
CP04_AC01_Home,458,239,927,324,388,72,0,0.00,0.39
Total,2311,233,2026,350,422,82,0,0.00,1.95
