Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC00_Buscar_Vuelos::,3323,0,2474,459,597,168,0,0.00,1.87
CP01_AC01_Buscar,3313,303,2474,460,598,166,0,0.00,1.87
CP02_AC00_SeleccionaVuelo::,3310,0,1488,340,443,133,0,0.00,1.87
CP02_AC01_SeleccionaVuelo,3295,214,1488,341,444,131,0,0.00,1.86
CP03_AC00_Comprar_Vuelo::,3288,241,2678,690,906,225,133,4.05,1.86
CP03_AC01_Comprar_Vuelo_Pursache,3289,216,2344,351,466,146,45,1.37,1.86
CP03_AC02_Comprar_Vuelo_Confirmacion,3235,220,1990,344,456,146,88,2.72,1.84
CP04_AC00_Home::,3147,0,1887,353,470,144,0,0.00,1.79
CP04_AC01_Home,3140,221,1887,354,470,143,0,0.00,1.79
Total,16272,214,2474,370,487,146,133,0.82,9.22
