Label,Samples,Minimum,Maximum,Average,P90,Standard Deviation,Error,%Error,Throughput
CP01_AC00_Buscar_Vuelos::,5287,0,21470,431,416,869,0,0.00,4.71
CP01_AC01_Buscar,5246,300,21470,434,416,871,0,0.00,4.67
CP02_AC00_SeleccionaVuelo::,5238,0,15510,299,312,426,0,0.00,4.67
CP02_AC01_SeleccionaVuelo,5209,218,15510,301,312,427,0,0.00,4.66
CP03_AC00_Comprar_Vuelo::,5177,232,25311,613,611,767,97,1.87,4.65
CP03_AC01_Comprar_Vuelo_Pursache,5177,4,15705,306,316,459,45,0.87,4.65
CP03_AC02_Comprar_Vuelo_Confirmacion,5094,216,24205,311,310,571,52,1.02,4.60
CP04_AC00_Home::,5038,0,15756,321,317,601,0,0.00,4.55
CP04_AC01_Home,4993,220,15756,324,317,603,0,0.00,4.53
Total,25719,4,24205,335,334,586,97,0.38,23.11
