Time,Label,Error Code,Error Message,URL
"2025-02-26 11:40:05",CP01_AC03_BuscaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:41:06",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:42:06",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:42:10",CP01_AC03_BuscaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:42:21",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:42:24",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:42:25",CP01_AC03_BuscaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:43:00",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:43:08",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:43:23",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:43:26",CP01_AC03_BuscaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:43:35",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:43:43",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:43:45",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:43:50",CP01_AC03_BuscaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:43:54",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:43:55",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:43:56",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:44:02",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:44:04",CP01_AC05_ActualizaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:44:09",CP01_AC03_BuscaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:44:19",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:44:21",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:44:22",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:44:26",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:44:32",CP01_AC03_BuscaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:44:33",CP01_AC05_ActualizaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:44:37",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:44:45",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:44:47",CP01_AC05_ActualizaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:44:47",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:44:55",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:45:00",CP01_AC05_ActualizaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:45:04",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:45:12",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:45:19",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:45:22",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:45:27",CP01_AC03_BuscaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:45:27",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:45:28",CP01_AC03_BuscaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:45:46",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:46:00",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:46:03",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:46:04",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:46:13",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:46:22",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:46:29",CP01_AC03_BuscaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:46:33",CP01_AC03_BuscaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:46:40",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:46:44",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:46:45",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:46:51",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:46:55",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:47:00",CP01_AC03_BuscaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:47:09",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:47:09",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:47:10",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:47:22",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:47:34",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:47:35",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:47:44",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:47:52",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:47:55",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:47:59",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:48:01",CP01_AC05_ActualizaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:48:01",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:48:01",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:48:06",CP01_AC03_BuscaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:48:07",CP01_AC03_BuscaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:48:09",CP01_AC05_ActualizaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:48:09",CP01_AC03_BuscaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:48:10",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:48:12",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:48:12",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:48:14",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:48:28",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:48:41",CP01_AC03_BuscaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:48:43",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:48:44",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:48:54",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:49:03",CP01_AC05_ActualizaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:49:05",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:49:06",CP01_AC05_ActualizaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:49:06",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:49:07",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:49:07",CP01_AC03_BuscaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:49:11",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:49:16",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:49:22",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:49:23",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:49:33",CP01_AC05_ActualizaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:49:35",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:49:35",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:49:38",CP01_AC05_ActualizaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:49:39",CP01_AC05_ActualizaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:49:46",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:49:59",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:50:01",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:50:05",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:50:07",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:50:07",CP01_AC05_ActualizaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:50:07",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:50:10",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:50:11",CP01_AC03_BuscaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:50:12",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:50:13",CP01_AC03_BuscaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:50:14",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:50:16",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:50:17",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:50:17",CP01_AC03_BuscaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:50:20",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:50:20",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:50:23",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:50:25",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:50:39",CP01_AC03_BuscaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:50:41",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:50:43",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:50:44",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:50:46",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:50:50",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:50:56",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:51:00",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:51:01",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:51:05",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:51:07",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:51:09",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:51:11",CP01_AC03_BuscaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:51:14",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:51:15",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:51:15",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:51:17",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:51:33",CP01_AC03_BuscaObjeto,502,"Bad Gateway",https://api.restful-api.dev/objects/7
"2025-02-26 11:51:40",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:51:41",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:51:42",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:51:47",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:52:04",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:52:06",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:52:08",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:52:09",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:52:17",CP01_AC04_AddObjecto,502,"Bad Gateway",https://api.restful-api.dev/objects
"2025-02-26 11:52:19",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:52:20",CP01_AC05_ActualizaObjeto,500,"Internal Server error",https://api.restful-api.dev/objects/7
"2025-02-26 11:52:23",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:52:24",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
"2025-02-26 11:52:25",CP01_AC04_AddObjecto,500,"Internal Server error",https://api.restful-api.dev/objects
