Time,Label,Error Code,Error Message,URL
"2025-03-10 16:43:52",CP02_AC01_NuevaMascota,404,"Page Not Found",https://petstore.swagger.io/v2/pet
"2025-03-10 16:44:07",CP02_AC01_NuevaMascota,500,"Internal Server Error",https://petstore.swagger.io/v2/pet
"2025-03-10 16:44:22",CP02_AC01_NuevaMascota,400,"Bad Request",https://petstore.swagger.io/v2/pet
"2025-03-10 16:45:04",CP02_AC01_NuevaMascota,400,"Bad Request",https://petstore.swagger.io/v2/pet
"2025-03-10 16:45:22",CP02_AC01_NuevaMascota,403,"Unauthorized",https://petstore.swagger.io/v2/pet
"2025-03-10 16:45:41",CP02_AC01_NuevaMascota,403,"Unauthorized",https://petstore.swagger.io/v2/pet
"2025-03-10 16:45:51",CP02_AC01_NuevaMascota,403,"Unauthorized",https://petstore.swagger.io/v2/pet
"2025-03-10 16:46:16",CP02_AC01_NuevaMascota,404,"Page Not Found",https://petstore.swagger.io/v2/pet
"2025-03-10 16:46:41",CP02_AC01_NuevaMascota,400,"Bad Request",https://petstore.swagger.io/v2/pet
"2025-03-10 16:46:46",CP02_AC01_NuevaMascota,404,"Page Not Found",https://petstore.swagger.io/v2/pet
"2025-03-10 16:46:51",CP02_AC01_NuevaMascota,502,"Bad Gateway",https://petstore.swagger.io/v2/pet
"2025-03-10 16:47:04",CP02_AC01_NuevaMascota,400,"Bad Request",https://petstore.swagger.io/v2/pet
"2025-03-10 16:47:32",CP02_AC01_NuevaMascota,400,"Bad Request",https://petstore.swagger.io/v2/pet
"2025-03-10 16:47:48",CP02_AC01_NuevaMascota,500,"Internal Server Error",https://petstore.swagger.io/v2/pet
"2025-03-10 16:47:59",CP02_AC01_NuevaMascota,403,"Unauthorized",https://petstore.swagger.io/v2/pet
"2025-03-10 16:48:35",CP02_AC01_NuevaMascota,403,"Unauthorized",https://petstore.swagger.io/v2/pet
"2025-03-10 16:48:38",CP02_AC01_NuevaMascota,500,"Internal Server Error",https://petstore.swagger.io/v2/pet
"2025-03-10 16:49:02",CP02_AC01_NuevaMascota,403,"Unauthorized",https://petstore.swagger.io/v2/pet
"2025-03-10 16:49:05",CP02_AC01_NuevaMascota,500,"Internal Server Error",https://petstore.swagger.io/v2/pet
"2025-03-10 16:49:20",CP02_AC01_NuevaMascota,403,"Unauthorized",https://petstore.swagger.io/v2/pet
"2025-03-10 16:50:33",CP02_AC01_NuevaMascota,403,"Unauthorized",https://petstore.swagger.io/v2/pet
"2025-03-10 16:54:02",CP02_AC01_NuevaMascota,500,"Internal Server Error",https://petstore.swagger.io/v2/pet
"2025-03-10 16:54:42",CP02_AC01_NuevaMascota,403,"Unauthorized",https://petstore.swagger.io/v2/pet
"2025-03-10 16:54:48",CP02_AC01_NuevaMascota,502,"Bad Gateway",https://petstore.swagger.io/v2/pet
"2025-03-10 16:54:54",CP02_AC01_NuevaMascota,400,"Bad Request",https://petstore.swagger.io/v2/pet
"2025-03-10 16:56:06",CP02_AC01_NuevaMascota,500,"Internal Server Error",https://petstore.swagger.io/v2/pet
"2025-03-10 16:56:57",CP02_AC01_NuevaMascota,403,"Unauthorized",https://petstore.swagger.io/v2/pet
"2025-03-10 16:57:02",CP02_AC01_NuevaMascota,502,"Bad Gateway",https://petstore.swagger.io/v2/pet
"2025-03-10 16:57:12",CP02_AC01_NuevaMascota,502,"Bad Gateway",https://petstore.swagger.io/v2/pet
"2025-03-10 16:57:21",CP02_AC01_NuevaMascota,502,"Bad Gateway",https://petstore.swagger.io/v2/pet
"2025-03-10 16:57:23",CP02_AC01_NuevaMascota,403,"Unauthorized",https://petstore.swagger.io/v2/pet
