Time,NumberHits
"2025-03-07 14:01:49",1
"2025-03-07 14:01:54",1
"2025-03-07 14:01:55",1
"2025-03-07 14:01:59",1
"2025-03-07 14:02:00",1
"2025-03-07 14:02:01",1
"2025-03-07 14:02:04",1
"2025-03-07 14:02:05",1
"2025-03-07 14:02:06",1
"2025-03-07 14:02:07",1
"2025-03-07 14:02:09",1
"2025-03-07 14:02:10",1
"2025-03-07 14:02:11",1
"2025-03-07 14:02:12",1
"2025-03-07 14:02:13",1
"2025-03-07 14:02:14",1
"2025-03-07 14:02:15",1
"2025-03-07 14:02:16",1
"2025-03-07 14:02:17",1
"2025-03-07 14:02:18",1
"2025-03-07 14:02:19",2
"2025-03-07 14:02:20",1
"2025-03-07 14:02:21",1
"2025-03-07 14:02:22",1
"2025-03-07 14:02:23",1
"2025-03-07 14:02:24",2
"2025-03-07 14:02:25",2
"2025-03-07 14:02:26",1
"2025-03-07 14:02:27",1
"2025-03-07 14:02:28",1
"2025-03-07 14:02:29",2
"2025-03-07 14:02:30",2
"2025-03-07 14:02:31",2
"2025-03-07 14:02:32",1
"2025-03-07 14:02:33",1
"2025-03-07 14:02:34",2
"2025-03-07 14:02:35",2
"2025-03-07 14:02:36",2
"2025-03-07 14:02:37",2
"2025-03-07 14:02:38",1
"2025-03-07 14:02:39",2
"2025-03-07 14:02:40",2
"2025-03-07 14:02:41",2
"2025-03-07 14:02:42",2
"2025-03-07 14:02:43",2
"2025-03-07 14:02:44",2
"2025-03-07 14:02:45",2
"2025-03-07 14:02:46",2
"2025-03-07 14:02:47",2
"2025-03-07 14:02:48",2
"2025-03-07 14:02:49",2
"2025-03-07 14:02:50",3
"2025-03-07 14:02:51",2
"2025-03-07 14:02:52",2
"2025-03-07 14:02:53",2
"2025-03-07 14:02:54",2
"2025-03-07 14:02:55",3
"2025-03-07 14:02:56",3
"2025-03-07 14:02:57",2
"2025-03-07 14:02:58",2
"2025-03-07 14:02:59",2
"2025-03-07 14:03:00",3
"2025-03-07 14:03:01",3
"2025-03-07 14:03:02",3
"2025-03-07 14:03:03",2
"2025-03-07 14:03:04",2
"2025-03-07 14:03:05",3
"2025-03-07 14:03:06",3
"2025-03-07 14:03:07",3
"2025-03-07 14:03:08",3
"2025-03-07 14:03:09",2
"2025-03-07 14:03:10",3
"2025-03-07 14:03:11",3
"2025-03-07 14:03:12",3
"2025-03-07 14:03:13",3
"2025-03-07 14:03:14",3
"2025-03-07 14:03:15",3
"2025-03-07 14:03:16",3
"2025-03-07 14:03:17",3
"2025-03-07 14:03:18",3
"2025-03-07 14:03:19",3
"2025-03-07 14:03:20",4
"2025-03-07 14:03:21",3
"2025-03-07 14:03:22",3
"2025-03-07 14:03:23",3
"2025-03-07 14:03:24",3
"2025-03-07 14:03:25",4
"2025-03-07 14:03:26",4
"2025-03-07 14:03:27",3
"2025-03-07 14:03:28",3
