Time,NumberHits
"2025-03-07 14:44:16",1
"2025-03-07 14:44:21",1
"2025-03-07 14:44:26",1
"2025-03-07 14:44:28",1
"2025-03-07 14:44:31",1
"2025-03-07 14:44:33",1
"2025-03-07 14:44:36",1
"2025-03-07 14:44:38",1
"2025-03-07 14:44:41",2
"2025-03-07 14:44:43",1
"2025-03-07 14:44:46",2
"2025-03-07 14:44:48",1
"2025-03-07 14:44:51",2
"2025-03-07 14:44:53",2
"2025-03-07 14:44:56",2
"2025-03-07 14:44:58",2
"2025-03-07 14:45:01",2
"2025-03-07 14:45:03",2
"2025-03-07 14:45:05",1
"2025-03-07 14:45:06",2
"2025-03-07 14:45:08",2
"2025-03-07 14:45:10",1
"2025-03-07 14:45:11",2
"2025-03-07 14:45:13",2
"2025-03-07 14:45:15",1
"2025-03-07 14:45:16",2
"2025-03-07 14:45:17",1
"2025-03-07 14:45:18",2
"2025-03-07 14:45:20",1
"2025-03-07 14:45:21",2
"2025-03-07 14:45:22",1
"2025-03-07 14:45:23",2
"2025-03-07 14:45:25",1
"2025-03-07 14:45:26",2
"2025-03-07 14:45:27",1
"2025-03-07 14:45:28",2
"2025-03-07 14:45:30",2
"2025-03-07 14:45:31",2
"2025-03-07 14:45:32",1
"2025-03-07 14:45:33",2
"2025-03-07 14:45:35",2
"2025-03-07 14:45:36",2
"2025-03-07 14:45:37",1
"2025-03-07 14:45:38",2
"2025-03-07 14:45:40",2
"2025-03-07 14:45:41",2
"2025-03-07 14:45:42",2
"2025-03-07 14:45:43",2
"2025-03-07 14:45:45",2
"2025-03-07 14:45:46",2
"2025-03-07 14:45:47",2
"2025-03-07 14:45:48",2
"2025-03-07 14:45:50",2
"2025-03-07 14:45:51",2
"2025-03-07 14:45:52",2
"2025-03-07 14:45:53",2
"2025-03-07 14:45:54",1
"2025-03-07 14:45:55",2
"2025-03-07 14:45:56",2
"2025-03-07 14:45:57",2
"2025-03-07 14:45:58",2
"2025-03-07 14:45:59",1
"2025-03-07 14:46:00",2
"2025-03-07 14:46:01",2
"2025-03-07 14:46:02",2
"2025-03-07 14:46:03",2
"2025-03-07 14:46:04",1
"2025-03-07 14:46:05",2
"2025-03-07 14:46:06",3
"2025-03-07 14:46:07",2
"2025-03-07 14:46:08",2
"2025-03-07 14:46:09",1
"2025-03-07 14:46:10",2
"2025-03-07 14:46:11",3
"2025-03-07 14:46:12",2
"2025-03-07 14:46:13",2
"2025-03-07 14:46:14",1
"2025-03-07 14:46:15",2
"2025-03-07 14:46:16",3
"2025-03-07 14:46:17",2
"2025-03-07 14:46:18",2
"2025-03-07 14:46:19",2
"2025-03-07 14:46:20",2
"2025-03-07 14:46:21",3
"2025-03-07 14:46:22",2
"2025-03-07 14:46:23",2
"2025-03-07 14:46:24",2
"2025-03-07 14:46:25",2
"2025-03-07 14:46:26",3
"2025-03-07 14:46:27",2
"2025-03-07 14:46:28",2
"2025-03-07 14:46:29",2
"2025-03-07 14:46:30",2
"2025-03-07 14:46:31",4
"2025-03-07 14:46:32",2
"2025-03-07 14:46:33",2
"2025-03-07 14:46:34",2
"2025-03-07 14:46:35",2
"2025-03-07 14:46:36",4
"2025-03-07 14:46:37",2
"2025-03-07 14:46:38",2
"2025-03-07 14:46:39",2
"2025-03-07 14:46:40",2
"2025-03-07 14:46:41",4
"2025-03-07 14:46:42",2
"2025-03-07 14:46:43",3
"2025-03-07 14:46:44",2
"2025-03-07 14:46:45",2
"2025-03-07 14:46:46",4
"2025-03-07 14:46:47",2
"2025-03-07 14:46:48",3
"2025-03-07 14:46:49",2
"2025-03-07 14:46:50",2
"2025-03-07 14:46:51",4
