Time,NumberHits
"2024-12-09 11:15:55",1
"2024-12-09 11:16:08",1
"2024-12-09 11:16:10",1
"2024-12-09 11:16:21",1
"2024-12-09 11:16:22",1
"2024-12-09 11:16:26",1
"2024-12-09 11:16:32",1
"2024-12-09 11:16:36",1
"2024-12-09 11:16:38",1
"2024-12-09 11:16:40",1
"2024-12-09 11:16:43",1
"2024-12-09 11:16:47",1
"2024-12-09 11:16:51",1
"2024-12-09 11:16:52",1
"2024-12-09 11:16:56",1
"2024-12-09 11:16:57",1
"2024-12-09 11:16:59",1
"2024-12-09 11:17:02",1
"2024-12-09 11:17:05",1
"2024-12-09 11:17:07",2
"2024-12-09 11:17:12",1
"2024-12-09 11:17:13",1
"2024-12-09 11:17:16",1
"2024-12-09 11:17:20",1
"2024-12-09 11:17:21",1
"2024-12-09 11:17:22",1
"2024-12-09 11:17:27",1
"2024-12-09 11:17:29",1
"2024-12-09 11:17:31",1
"2024-12-09 11:17:33",1
"2024-12-09 11:17:35",1
"2024-12-09 11:17:38",1
"2024-12-09 11:17:41",1
"2024-12-09 11:17:43",1
"2024-12-09 11:17:44",1
"2024-12-09 11:17:48",1
"2024-12-09 11:17:50",1
"2024-12-09 11:17:52",1
"2024-12-09 11:17:56",1
"2024-12-09 11:17:57",1
"2024-12-09 11:17:59",1
"2024-12-09 11:18:02",1
"2024-12-09 11:18:05",1
"2024-12-09 11:18:07",1
"2024-12-09 11:18:08",2
"2024-12-09 11:18:10",1
"2024-12-09 11:18:14",1
"2024-12-09 11:18:16",1
"2024-12-09 11:18:19",3
"2024-12-09 11:18:20",1
"2024-12-09 11:18:24",1
"2024-12-09 11:18:25",1
"2024-12-09 11:18:28",1
"2024-12-09 11:18:31",1
"2024-12-09 11:18:32",3
"2024-12-09 11:18:33",1
"2024-12-09 11:18:34",1
"2024-12-09 11:18:39",1
"2024-12-09 11:18:42",1
"2024-12-09 11:18:43",2
"2024-12-09 11:18:44",3
"2024-12-09 11:18:45",1
"2024-12-09 11:18:46",1
"2024-12-09 11:18:49",1
"2024-12-09 11:18:52",1
"2024-12-09 11:18:55",3
"2024-12-09 11:18:56",4
"2024-12-09 11:18:59",1
"2024-12-09 11:19:02",1
"2024-12-09 11:19:04",1
"2024-12-09 11:19:07",4
"2024-12-09 11:19:08",2
"2024-12-09 11:19:09",1
"2024-12-09 11:19:10",1
"2024-12-09 11:19:15",1
"2024-12-09 11:19:17",1
"2024-12-09 11:19:19",2
"2024-12-09 11:19:20",3
"2024-12-09 11:19:21",2
"2024-12-09 11:19:23",1
"2024-12-09 11:19:26",1
"2024-12-09 11:19:28",1
"2024-12-09 11:19:31",6
"2024-12-09 11:19:33",1
"2024-12-09 11:19:36",1
"2024-12-09 11:19:38",1
"2024-12-09 11:19:41",1
"2024-12-09 11:19:43",3
"2024-12-09 11:19:44",4
"2024-12-09 11:19:46",1
"2024-12-09 11:19:50",1
"2024-12-09 11:19:53",1
"2024-12-09 11:19:55",1
"2024-12-09 11:19:56",5
"2024-12-09 11:19:57",1
"2024-12-09 11:19:59",1
"2024-12-09 11:20:01",1
"2024-12-09 11:20:04",1
"2024-12-09 11:20:07",4
"2024-12-09 11:20:08",3
"2024-12-09 11:20:11",1
"2024-12-09 11:20:14",1
"2024-12-09 11:20:16",1
"2024-12-09 11:20:19",3
"2024-12-09 11:20:20",3
"2024-12-09 11:20:21",1
"2024-12-09 11:20:22",1
"2024-12-09 11:20:26",1
"2024-12-09 11:20:29",1
"2024-12-09 11:20:31",2
"2024-12-09 11:20:32",3
"2024-12-09 11:20:33",2
"2024-12-09 11:20:35",1
"2024-12-09 11:20:37",1
"2024-12-09 11:20:41",1
"2024-12-09 11:20:43",2
"2024-12-09 11:20:44",4
"2024-12-09 11:20:45",1
"2024-12-09 11:20:48",1
"2024-12-09 11:20:49",1
"2024-12-09 11:20:53",1
"2024-12-09 11:20:55",2
"2024-12-09 11:20:56",4
"2024-12-09 11:20:57",1
"2024-12-09 11:20:58",1
"2024-12-09 11:21:03",1
"2024-12-09 11:21:06",1
"2024-12-09 11:21:07",4
"2024-12-09 11:21:08",1
"2024-12-09 11:21:09",2
"2024-12-09 11:21:11",1
"2024-12-09 11:21:13",1
"2024-12-09 11:21:17",1
"2024-12-09 11:21:19",3
"2024-12-09 11:21:20",3
"2024-12-09 11:21:21",1
"2024-12-09 11:21:24",1
"2024-12-09 11:21:25",1
"2024-12-09 11:21:28",1
"2024-12-09 11:21:31",1
"2024-12-09 11:21:32",4
"2024-12-09 11:21:33",2
"2024-12-09 11:21:34",1
"2024-12-09 11:21:39",1
"2024-12-09 11:21:42",1
"2024-12-09 11:21:43",3
"2024-12-09 11:21:44",2
"2024-12-09 11:21:45",2
"2024-12-09 11:21:46",1
"2024-12-09 11:21:49",1
"2024-12-09 11:21:52",1
"2024-12-09 11:21:55",4
"2024-12-09 11:21:56",3
"2024-12-09 11:21:59",1
"2024-12-09 11:22:01",1
"2024-12-09 11:22:04",1
"2024-12-09 11:22:07",2
"2024-12-09 11:22:08",4
"2024-12-09 11:22:09",1
"2024-12-09 11:22:11",1
"2024-12-09 11:22:15",1
"2024-12-09 11:22:18",1
"2024-12-09 11:22:19",1
"2024-12-09 11:22:20",5
"2024-12-09 11:22:21",1
"2024-12-09 11:22:22",1
"2024-12-09 11:22:25",1
"2024-12-09 11:22:28",1
"2024-12-09 11:22:31",3
"2024-12-09 11:22:32",4
"2024-12-09 11:22:36",1
"2024-12-09 11:22:37",1
"2024-12-09 11:22:41",1
"2024-12-09 11:22:43",1
"2024-12-09 11:22:44",3
"2024-12-09 11:22:45",3
"2024-12-09 11:22:46",1
"2024-12-09 11:22:51",1
"2024-12-09 11:22:53",1
"2024-12-09 11:22:55",3
"2024-12-09 11:22:56",3
"2024-12-09 11:22:57",1
"2024-12-09 11:22:59",1
"2024-12-09 11:23:01",1
"2024-12-09 11:23:04",1
"2024-12-09 11:23:07",4
"2024-12-09 11:23:08",2
"2024-12-09 11:23:09",1
"2024-12-09 11:23:12",1
"2024-12-09 11:23:13",1
"2024-12-09 11:23:17",1
"2024-12-09 11:23:19",2
"2024-12-09 11:23:20",2
"2024-12-09 11:23:21",3
"2024-12-09 11:23:23",1
"2024-12-09 11:23:27",1
"2024-12-09 11:23:30",1
"2024-12-09 11:23:31",3
"2024-12-09 11:23:32",4
"2024-12-09 11:23:35",1
"2024-12-09 11:23:38",1
"2024-12-09 11:23:40",1
"2024-12-09 11:23:43",4
"2024-12-09 11:23:44",2
"2024-12-09 11:23:45",1
"2024-12-09 11:23:47",1
"2024-12-09 11:23:50",1
"2024-12-09 11:23:52",1
"2024-12-09 11:23:55",2
"2024-12-09 11:23:56",3
"2024-12-09 11:23:57",2
"2024-12-09 11:23:59",1
"2024-12-09 11:24:03",1
"2024-12-09 11:24:05",1
"2024-12-09 11:24:08",6
"2024-12-09 11:24:09",1
"2024-12-09 11:24:10",1
"2024-12-09 11:24:13",1
"2024-12-09 11:24:17",1
"2024-12-09 11:24:19",3
"2024-12-09 11:24:20",4
"2024-12-09 11:24:23",1
"2024-12-09 11:24:25",1
"2024-12-09 11:24:29",1
"2024-12-09 11:24:31",2
"2024-12-09 11:24:32",2
"2024-12-09 11:24:33",3
"2024-12-09 11:24:34",1
"2024-12-09 11:24:39",1
"2024-12-09 11:24:42",1
"2024-12-09 11:24:43",4
"2024-12-09 11:24:44",1
"2024-12-09 11:24:45",2
"2024-12-09 11:24:47",1
"2024-12-09 11:24:49",1
"2024-12-09 11:24:52",1
"2024-12-09 11:24:55",2
"2024-12-09 11:24:56",5
"2024-12-09 11:24:59",1
"2024-12-09 11:25:01",1
"2024-12-09 11:25:05",1
"2024-12-09 11:25:07",2
"2024-12-09 11:25:08",4
"2024-12-09 11:25:09",1
"2024-12-09 11:25:11",1
"2024-12-09 11:25:15",1
"2024-12-09 11:25:18",1
"2024-12-09 11:25:19",5
"2024-12-09 11:25:20",1
"2024-12-09 11:25:21",1
"2024-12-09 11:25:23",1
"2024-12-09 11:25:25",1
"2024-12-09 11:25:29",1
"2024-12-09 11:25:31",3
"2024-12-09 11:25:32",4
"2024-12-09 11:25:36",1
"2024-12-09 11:25:38",1
"2024-12-09 11:25:40",1
"2024-12-09 11:25:43",2
"2024-12-09 11:25:44",3
"2024-12-09 11:25:45",2
"2024-12-09 11:25:46",1
"2024-12-09 11:25:51",1
"2024-12-09 11:25:53",1
"2024-12-09 11:25:55",2
"2024-12-09 11:25:56",3
"2024-12-09 11:25:57",2
"2024-12-09 11:25:59",1
"2024-12-09 11:26:01",1
"2024-12-09 11:26:04",1
"2024-12-09 11:26:07",2
"2024-12-09 11:26:08",5
"2024-12-09 11:26:11",1
"2024-12-09 11:26:13",1
"2024-12-09 11:26:16",1
"2024-12-09 11:26:19",4
"2024-12-09 11:26:20",1
"2024-12-09 11:26:21",2
"2024-12-09 11:26:22",1
"2024-12-09 11:26:27",1
"2024-12-09 11:26:30",1
"2024-12-09 11:26:31",3
"2024-12-09 11:26:32",3
"2024-12-09 11:26:33",1
"2024-12-09 11:26:35",1
"2024-12-09 11:26:37",1
"2024-12-09 11:26:41",1
"2024-12-09 11:26:43",4
"2024-12-09 11:26:44",2
"2024-12-09 11:26:45",1
"2024-12-09 11:26:47",1
"2024-12-09 11:26:49",1
"2024-12-09 11:26:53",1
"2024-12-09 11:26:56",5
"2024-12-09 11:26:57",2
"2024-12-09 11:26:59",1
"2024-12-09 11:27:02",1
"2024-12-09 11:27:05",1
"2024-12-09 11:27:07",2
"2024-12-09 11:27:08",3
"2024-12-09 11:27:09",2
"2024-12-09 11:27:10",1
"2024-12-09 11:27:13",1
"2024-12-09 11:27:16",1
"2024-12-09 11:27:19",2
"2024-12-09 11:27:20",3
"2024-12-09 11:27:21",2
"2024-12-09 11:27:24",1
"2024-12-09 11:27:26",1
"2024-12-09 11:27:29",1
"2024-12-09 11:27:31",2
"2024-12-09 11:27:32",5
"2024-12-09 11:27:34",1
"2024-12-09 11:27:39",1
