Time,NumberHits
"2025-03-07 14:41:02",1
"2025-03-07 14:41:07",1
"2025-03-07 14:41:12",1
"2025-03-07 14:41:17",1
"2025-03-07 14:41:22",1
"2025-03-07 14:41:27",1
"2025-03-07 14:41:32",1
"2025-03-07 14:41:37",1
"2025-03-07 14:41:42",1
"2025-03-07 14:41:45",1
"2025-03-07 14:41:47",1
"2025-03-07 14:41:50",1
"2025-03-07 14:41:52",1
"2025-03-07 14:41:55",1
"2025-03-07 14:41:57",1
"2025-03-07 14:42:00",1
"2025-03-07 14:42:02",1
"2025-03-07 14:42:05",1
"2025-03-07 14:42:07",1
"2025-03-07 14:42:10",1
"2025-03-07 14:42:12",1
"2025-03-07 14:42:15",1
"2025-03-07 14:42:17",1
"2025-03-07 14:42:20",1
"2025-03-07 14:42:22",1
"2025-03-07 14:42:25",1
"2025-03-07 14:42:27",1
"2025-03-07 14:42:28",1
"2025-03-07 14:42:30",1
"2025-03-07 14:42:32",1
"2025-03-07 14:42:33",1
"2025-03-07 14:42:35",1
"2025-03-07 14:42:37",1
"2025-03-07 14:42:38",1
"2025-03-07 14:42:40",1
"2025-03-07 14:42:42",1
"2025-03-07 14:42:43",1
"2025-03-07 14:42:45",1
"2025-03-07 14:42:47",1
"2025-03-07 14:42:48",1
"2025-03-07 14:42:50",1
"2025-03-07 14:42:52",1
"2025-03-07 14:42:53",1
"2025-03-07 14:42:55",1
"2025-03-07 14:42:57",1
"2025-03-07 14:42:58",1
"2025-03-07 14:43:00",1
"2025-03-07 14:43:02",1
"2025-03-07 14:43:03",1
"2025-03-07 14:43:05",1
"2025-03-07 14:43:07",1
"2025-03-07 14:43:08",1
"2025-03-07 14:43:10",2
"2025-03-07 14:43:12",1
"2025-03-07 14:43:13",1
"2025-03-07 14:43:15",2
"2025-03-07 14:43:17",1
"2025-03-07 14:43:18",1
"2025-03-07 14:43:20",2
"2025-03-07 14:43:22",1
"2025-03-07 14:43:23",1
"2025-03-07 14:43:25",2
"2025-03-07 14:43:27",1
"2025-03-07 14:43:28",1
"2025-03-07 14:43:30",2
"2025-03-07 14:43:32",1
"2025-03-07 14:43:33",1
"2025-03-07 14:43:35",2
"2025-03-07 14:43:37",1
"2025-03-07 14:43:38",1
"2025-03-07 14:43:40",2
"2025-03-07 14:43:42",1
"2025-03-07 14:43:43",1
"2025-03-07 14:43:45",2
"2025-03-07 14:43:47",1
"2025-03-07 14:43:48",1
"2025-03-07 14:43:50",2
"2025-03-07 14:43:52",1
"2025-03-07 14:43:53",2
"2025-03-07 14:43:55",2
"2025-03-07 14:43:57",1
"2025-03-07 14:43:58",2
"2025-03-07 14:44:00",2
"2025-03-07 14:44:02",1
"2025-03-07 14:44:03",2
"2025-03-07 14:44:05",2
"2025-03-07 14:44:07",1
"2025-03-07 14:44:08",2
"2025-03-07 14:44:10",2
"2025-03-07 14:44:12",1
"2025-03-07 14:44:13",2
"2025-03-07 14:44:15",2
"2025-03-07 14:44:17",1
"2025-03-07 14:44:18",2
"2025-03-07 14:44:20",2
"2025-03-07 14:44:22",1
"2025-03-07 14:44:23",2
"2025-03-07 14:44:25",2
"2025-03-07 14:44:27",1
"2025-03-07 14:44:28",2
"2025-03-07 14:44:30",2
"2025-03-07 14:44:32",1
"2025-03-07 14:44:33",2
"2025-03-07 14:44:35",2
"2025-03-07 14:44:36",1
"2025-03-07 14:44:37",1
"2025-03-07 14:44:38",2
"2025-03-07 14:44:40",2
"2025-03-07 14:44:41",1
"2025-03-07 14:44:42",1
"2025-03-07 14:44:43",2
"2025-03-07 14:44:45",2
"2025-03-07 14:44:46",1
"2025-03-07 14:44:47",1
"2025-03-07 14:44:48",2
"2025-03-07 14:44:50",2
"2025-03-07 14:44:51",1
"2025-03-07 14:44:52",1
"2025-03-07 14:44:53",2
"2025-03-07 14:44:55",2
"2025-03-07 14:44:56",1
"2025-03-07 14:44:57",1
"2025-03-07 14:44:58",2
"2025-03-07 14:45:00",2
"2025-03-07 14:45:01",1
"2025-03-07 14:45:02",1
"2025-03-07 14:45:03",2
"2025-03-07 14:45:05",2
"2025-03-07 14:45:06",1
"2025-03-07 14:45:07",1
"2025-03-07 14:45:08",2
"2025-03-07 14:45:10",2
"2025-03-07 14:45:11",1
"2025-03-07 14:45:12",1
"2025-03-07 14:45:13",2
"2025-03-07 14:45:15",2
"2025-03-07 14:45:16",1
"2025-03-07 14:45:17",1
"2025-03-07 14:45:18",2
"2025-03-07 14:45:19",1
"2025-03-07 14:45:20",2
"2025-03-07 14:45:21",1
"2025-03-07 14:45:22",1
"2025-03-07 14:45:23",2
"2025-03-07 14:45:24",1
"2025-03-07 14:45:25",2
"2025-03-07 14:45:26",1
"2025-03-07 14:45:27",1
"2025-03-07 14:45:28",2
"2025-03-07 14:45:29",1
"2025-03-07 14:45:30",2
"2025-03-07 14:45:31",1
"2025-03-07 14:45:32",1
"2025-03-07 14:45:33",2
"2025-03-07 14:45:34",1
"2025-03-07 14:45:35",2
"2025-03-07 14:45:36",1
"2025-03-07 14:45:37",1
"2025-03-07 14:45:38",2
"2025-03-07 14:45:39",1
"2025-03-07 14:45:40",2
"2025-03-07 14:45:41",1
"2025-03-07 14:45:42",1
"2025-03-07 14:45:43",2
"2025-03-07 14:45:44",1
"2025-03-07 14:45:45",2
"2025-03-07 14:45:46",1
"2025-03-07 14:45:47",1
"2025-03-07 14:45:48",2
"2025-03-07 14:45:49",1
"2025-03-07 14:45:50",2
"2025-03-07 14:45:51",1
"2025-03-07 14:45:52",1
"2025-03-07 14:45:53",2
"2025-03-07 14:45:54",1
"2025-03-07 14:45:55",2
"2025-03-07 14:45:56",1
"2025-03-07 14:45:57",1
"2025-03-07 14:45:58",2
"2025-03-07 14:45:59",1
"2025-03-07 14:46:00",2
"2025-03-07 14:46:01",1
"2025-03-07 14:46:02",2
"2025-03-07 14:46:03",2
"2025-03-07 14:46:04",1
"2025-03-07 14:46:05",2
"2025-03-07 14:46:06",1
"2025-03-07 14:46:07",2
"2025-03-07 14:46:08",2
"2025-03-07 14:46:09",1
"2025-03-07 14:46:10",2
"2025-03-07 14:46:11",1
"2025-03-07 14:46:12",2
"2025-03-07 14:46:13",2
"2025-03-07 14:46:14",1
"2025-03-07 14:46:15",2
"2025-03-07 14:46:16",1
"2025-03-07 14:46:17",2
"2025-03-07 14:46:18",2
"2025-03-07 14:46:19",1
"2025-03-07 14:46:20",2
"2025-03-07 14:46:21",1
"2025-03-07 14:46:22",2
"2025-03-07 14:46:23",2
"2025-03-07 14:46:24",1
"2025-03-07 14:46:25",2
"2025-03-07 14:46:26",1
"2025-03-07 14:46:27",2
"2025-03-07 14:46:28",2
"2025-03-07 14:46:29",1
"2025-03-07 14:46:30",2
"2025-03-07 14:46:31",1
"2025-03-07 14:46:32",2
"2025-03-07 14:46:33",2
"2025-03-07 14:46:34",1
"2025-03-07 14:46:35",2
"2025-03-07 14:46:36",1
"2025-03-07 14:46:37",2
"2025-03-07 14:46:38",2
"2025-03-07 14:46:39",1
"2025-03-07 14:46:40",2
"2025-03-07 14:46:41",1
"2025-03-07 14:46:42",2
"2025-03-07 14:46:43",2
"2025-03-07 14:46:44",1
"2025-03-07 14:46:45",2
"2025-03-07 14:46:46",1
"2025-03-07 14:46:47",2
"2025-03-07 14:46:48",2
"2025-03-07 14:46:49",1
"2025-03-07 14:46:50",2
"2025-03-07 14:46:51",1
"2025-03-07 14:46:52",2
"2025-03-07 14:46:53",2
"2025-03-07 14:46:54",1
"2025-03-07 14:46:55",2
"2025-03-07 14:46:56",1
"2025-03-07 14:46:57",2
"2025-03-07 14:46:58",2
"2025-03-07 14:46:59",1
"2025-03-07 14:47:00",2
"2025-03-07 14:47:01",1
"2025-03-07 14:47:02",2
"2025-03-07 14:47:03",2
"2025-03-07 14:47:04",1
"2025-03-07 14:47:05",2
"2025-03-07 14:47:06",1
"2025-03-07 14:47:07",2
"2025-03-07 14:47:08",2
"2025-03-07 14:47:09",1
"2025-03-07 14:47:10",2
"2025-03-07 14:47:11",1
"2025-03-07 14:47:12",2
"2025-03-07 14:47:13",2
"2025-03-07 14:47:14",1
"2025-03-07 14:47:15",2
"2025-03-07 14:47:16",1
"2025-03-07 14:47:17",2
"2025-03-07 14:47:18",2
"2025-03-07 14:47:19",1
