Time,NumberHits
"2024-12-09 16:01:39",1
"2024-12-09 16:01:40",1
"2024-12-09 16:01:41",1
"2024-12-09 16:01:45",2
"2024-12-09 16:01:49",1
"2024-12-09 16:01:56",1
"2024-12-09 16:01:57",1
"2024-12-09 16:02:00",1
"2024-12-09 16:02:01",2
"2024-12-09 16:02:02",2
"2024-12-09 16:02:05",1
"2024-12-09 16:02:06",3
"2024-12-09 16:02:09",1
"2024-12-09 16:02:10",1
"2024-12-09 16:02:11",1
"2024-12-09 16:02:14",1
"2024-12-09 16:02:17",1
"2024-12-09 16:02:18",1
"2024-12-09 16:02:21",3
"2024-12-09 16:02:22",2
"2024-12-09 16:02:23",1
"2024-12-09 16:02:24",1
"2024-12-09 16:02:25",2
"2024-12-09 16:02:27",3
"2024-12-09 16:02:28",1
"2024-12-09 16:02:30",1
"2024-12-09 16:02:31",3
"2024-12-09 16:02:32",1
"2024-12-09 16:02:34",1
"2024-12-09 16:02:35",1
"2024-12-09 16:02:36",1
"2024-12-09 16:02:39",3
"2024-12-09 16:02:42",2
"2024-12-09 16:02:43",2
"2024-12-09 16:02:44",1
"2024-12-09 16:02:45",2
"2024-12-09 16:02:46",1
"2024-12-09 16:02:47",3
"2024-12-09 16:02:48",1
"2024-12-09 16:02:49",3
"2024-12-09 16:02:50",2
"2024-12-09 16:02:52",3
"2024-12-09 16:02:53",1
"2024-12-09 16:02:54",1
"2024-12-09 16:02:55",1
"2024-12-09 16:02:56",3
"2024-12-09 16:02:57",1
"2024-12-09 16:03:00",3
"2024-12-09 16:03:01",2
"2024-12-09 16:03:04",4
"2024-12-09 16:03:05",2
"2024-12-09 16:03:06",2
"2024-12-09 16:03:07",2
"2024-12-09 16:03:08",2
"2024-12-09 16:03:09",1
"2024-12-09 16:03:10",2
"2024-12-09 16:03:11",4
"2024-12-09 16:03:12",1
"2024-12-09 16:03:13",1
"2024-12-09 16:03:14",3
"2024-12-09 16:03:15",3
"2024-12-09 16:03:17",3
"2024-12-09 16:03:18",1
"2024-12-09 16:03:19",1
"2024-12-09 16:03:20",1
"2024-12-09 16:03:21",3
"2024-12-09 16:03:22",3
"2024-12-09 16:03:25",4
"2024-12-09 16:03:26",4
"2024-12-09 16:03:27",1
"2024-12-09 16:03:28",1
"2024-12-09 16:03:29",4
"2024-12-09 16:03:30",1
"2024-12-09 16:03:31",1
"2024-12-09 16:03:32",4
"2024-12-09 16:03:33",3
"2024-12-09 16:03:35",3
"2024-12-09 16:03:36",4
"2024-12-09 16:03:37",2
"2024-12-09 16:03:38",1
"2024-12-09 16:03:39",3
"2024-12-09 16:03:40",3
"2024-12-09 16:03:42",3
"2024-12-09 16:03:43",2
"2024-12-09 16:03:44",2
"2024-12-09 16:03:45",2
"2024-12-09 16:03:46",2
"2024-12-09 16:03:47",4
"2024-12-09 16:03:48",2
"2024-12-09 16:03:49",2
"2024-12-09 16:03:50",4
"2024-12-09 16:03:51",3
"2024-12-09 16:03:52",1
"2024-12-09 16:03:53",2
"2024-12-09 16:03:54",6
"2024-12-09 16:03:56",1
"2024-12-09 16:03:57",4
"2024-12-09 16:03:58",4
"2024-12-09 16:04:00",3
"2024-12-09 16:04:01",4
"2024-12-09 16:04:02",2
"2024-12-09 16:04:03",1
"2024-12-09 16:04:04",5
"2024-12-09 16:04:05",3
"2024-12-09 16:04:07",3
"2024-12-09 16:04:08",2
"2024-12-09 16:04:09",5
"2024-12-09 16:04:10",2
"2024-12-09 16:04:11",4
"2024-12-09 16:04:12",5
"2024-12-09 16:04:14",1
"2024-12-09 16:04:15",6
"2024-12-09 16:04:16",4
"2024-12-09 16:04:17",1
"2024-12-09 16:04:18",2
"2024-12-09 16:04:19",6
"2024-12-09 16:04:20",1
"2024-12-09 16:04:21",2
"2024-12-09 16:04:22",2
"2024-12-09 16:04:23",5
"2024-12-09 16:04:24",1
"2024-12-09 16:04:25",2
"2024-12-09 16:04:26",7
"2024-12-09 16:04:27",1
