Time,NumberHits
"2024-12-10 11:35:29",1
"2024-12-10 11:35:30",1
"2024-12-10 11:35:31",1
"2024-12-10 11:35:35",2
"2024-12-10 11:35:39",1
"2024-12-10 11:35:46",1
"2024-12-10 11:35:47",1
"2024-12-10 11:35:50",2
"2024-12-10 11:35:55",1
"2024-12-10 11:35:56",1
"2024-12-10 11:35:59",1
"2024-12-10 11:36:00",3
"2024-12-10 11:36:01",1
"2024-12-10 11:36:04",2
"2024-12-10 11:36:05",1
"2024-12-10 11:36:09",1
"2024-12-10 11:36:11",2
"2024-12-10 11:36:15",2
"2024-12-10 11:36:16",1
"2024-12-10 11:36:17",1
"2024-12-10 11:36:20",3
"2024-12-10 11:36:21",1
"2024-12-10 11:36:25",3
"2024-12-10 11:36:26",1
"2024-12-10 11:36:29",2
"2024-12-10 11:36:30",3
"2024-12-10 11:36:31",1
"2024-12-10 11:36:34",1
"2024-12-10 11:36:35",2
"2024-12-10 11:36:36",2
"2024-12-10 11:36:39",1
"2024-12-10 11:36:40",3
"2024-12-10 11:36:41",2
"2024-12-10 11:36:45",4
"2024-12-10 11:36:46",2
"2024-12-10 11:36:50",5
"2024-12-10 11:36:51",1
"2024-12-10 11:36:54",3
"2024-12-10 11:36:55",1
"2024-12-10 11:36:59",2
"2024-12-10 11:37:00",1
"2024-12-10 11:37:01",4
"2024-12-10 11:37:02",1
"2024-12-10 11:37:04",1
"2024-12-10 11:37:05",5
"2024-12-10 11:37:06",2
"2024-12-10 11:37:09",1
"2024-12-10 11:37:10",3
"2024-12-10 11:37:11",3
"2024-12-10 11:37:14",2
"2024-12-10 11:37:15",4
"2024-12-10 11:37:16",2
"2024-12-10 11:37:19",2
"2024-12-10 11:37:20",4
"2024-12-10 11:37:24",1
"2024-12-10 11:37:25",2
"2024-12-10 11:37:26",3
"2024-12-10 11:37:27",1
"2024-12-10 11:37:29",1
"2024-12-10 11:37:30",7
"2024-12-10 11:37:31",3
"2024-12-10 11:37:34",1
"2024-12-10 11:37:35",6
"2024-12-10 11:37:36",2
"2024-12-10 11:37:39",1
"2024-12-10 11:37:40",5
"2024-12-10 11:37:41",2
"2024-12-10 11:37:42",1
"2024-12-10 11:37:44",2
"2024-12-10 11:37:45",4
"2024-12-10 11:37:46",2
"2024-12-10 11:37:49",1
"2024-12-10 11:37:50",3
"2024-12-10 11:37:51",3
"2024-12-10 11:37:52",2
"2024-12-10 11:37:54",1
"2024-12-10 11:37:55",5
"2024-12-10 11:37:56",4
"2024-12-10 11:37:59",3
"2024-12-10 11:38:00",6
"2024-12-10 11:38:01",3
"2024-12-10 11:38:04",2
"2024-12-10 11:38:05",6
"2024-12-10 11:38:06",3
"2024-12-10 11:38:09",3
"2024-12-10 11:38:10",4
"2024-12-10 11:38:11",1
"2024-12-10 11:38:12",1
"2024-12-10 11:38:14",1
"2024-12-10 11:38:15",2
"2024-12-10 11:38:16",7
"2024-12-10 11:38:17",1
"2024-12-10 11:38:20",9
"2024-12-10 11:38:21",2
"2024-12-10 11:38:22",1
"2024-12-10 11:38:24",1
"2024-12-10 11:38:25",6
"2024-12-10 11:38:26",4
"2024-12-10 11:38:29",3
"2024-12-10 11:38:30",5
"2024-12-10 11:38:31",6
"2024-12-10 11:38:34",4
"2024-12-10 11:38:35",5
"2024-12-10 11:38:36",2
"2024-12-10 11:38:39",2
"2024-12-10 11:38:40",4
"2024-12-10 11:38:41",5
"2024-12-10 11:38:42",1
"2024-12-10 11:38:44",1
"2024-12-10 11:38:45",8
"2024-12-10 11:38:46",4
"2024-12-10 11:38:47",1
"2024-12-10 11:38:49",1
"2024-12-10 11:38:50",10
"2024-12-10 11:38:51",2
"2024-12-10 11:38:54",1
"2024-12-10 11:38:55",8
"2024-12-10 11:38:56",4
"2024-12-10 11:38:59",4
"2024-12-10 11:39:00",8
"2024-12-10 11:39:01",2
"2024-12-10 11:39:04",3
"2024-12-10 11:39:05",4
"2024-12-10 11:39:06",6
"2024-12-10 11:39:07",1
"2024-12-10 11:39:09",1
"2024-12-10 11:39:10",9
"2024-12-10 11:39:11",5
"2024-12-10 11:39:14",2
"2024-12-10 11:39:15",7
"2024-12-10 11:39:16",6
"2024-12-10 11:39:19",2
"2024-12-10 11:39:20",8
"2024-12-10 11:39:21",4
"2024-12-10 11:39:22",1
"2024-12-10 11:39:24",4
"2024-12-10 11:39:25",6
"2024-12-10 11:39:26",2
"2024-12-10 11:39:27",1
"2024-12-10 11:39:29",3
"2024-12-10 11:39:30",6
"2024-12-10 11:39:31",7
"2024-12-10 11:39:32",1
"2024-12-10 11:39:34",2
"2024-12-10 11:39:35",10
"2024-12-10 11:39:36",4
"2024-12-10 11:39:37",1
"2024-12-10 11:39:39",2
"2024-12-10 11:39:40",9
"2024-12-10 11:39:41",4
"2024-12-10 11:39:42",1
"2024-12-10 11:39:44",1
"2024-12-10 11:39:45",11
"2024-12-10 11:39:46",5
"2024-12-10 11:39:49",5
"2024-12-10 11:39:50",7
"2024-12-10 11:39:51",3
"2024-12-10 11:39:54",2
"2024-12-10 11:39:55",5
"2024-12-10 11:39:56",9
"2024-12-10 11:39:59",3
"2024-12-10 11:40:00",12
"2024-12-10 11:40:01",4
"2024-12-10 11:40:02",1
"2024-12-10 11:40:04",3
"2024-12-10 11:40:05",10
"2024-12-10 11:40:06",4
"2024-12-10 11:40:07",1
"2024-12-10 11:40:09",2
"2024-12-10 11:40:10",10
"2024-12-10 11:40:11",5
"2024-12-10 11:40:12",1
"2024-12-10 11:40:14",4
"2024-12-10 11:40:15",8
"2024-12-10 11:40:16",4
"2024-12-10 11:40:17",1
"2024-12-10 11:40:19",3
"2024-12-10 11:40:20",8
"2024-12-10 11:40:21",6
"2024-12-10 11:40:22",1
"2024-12-10 11:40:24",1
"2024-12-10 11:40:25",12
"2024-12-10 11:40:26",6
"2024-12-10 11:40:29",4
"2024-12-10 11:40:30",11
"2024-12-10 11:40:31",6
"2024-12-10 11:40:34",5
"2024-12-10 11:40:35",10
"2024-12-10 11:40:36",4
"2024-12-10 11:40:37",1
"2024-12-10 11:40:39",4
"2024-12-10 11:40:40",9
"2024-12-10 11:40:41",5
"2024-12-10 11:40:44",3
"2024-12-10 11:40:45",8
"2024-12-10 11:40:46",9
"2024-12-10 11:40:49",1
"2024-12-10 11:40:50",14
"2024-12-10 11:40:51",5
"2024-12-10 11:40:52",1
"2024-12-10 11:40:54",4
"2024-12-10 11:40:55",11
"2024-12-10 11:40:56",5
"2024-12-10 11:40:59",4
"2024-12-10 11:41:00",10
"2024-12-10 11:41:01",6
"2024-12-10 11:41:04",5
"2024-12-10 11:41:05",8
"2024-12-10 11:41:06",5
"2024-12-10 11:41:09",2
"2024-12-10 11:41:10",9
"2024-12-10 11:41:11",7
"2024-12-10 11:41:12",2
"2024-12-10 11:41:14",1
"2024-12-10 11:41:15",13
"2024-12-10 11:41:16",6
"2024-12-10 11:41:17",1
"2024-12-10 11:41:19",2
"2024-12-10 11:41:20",13
"2024-12-10 11:41:21",5
"2024-12-10 11:41:24",4
"2024-12-10 11:41:25",8
"2024-12-10 11:41:26",8
"2024-12-10 11:41:29",4
"2024-12-10 11:41:30",10
"2024-12-10 11:41:31",3
"2024-12-10 11:41:32",1
"2024-12-10 11:41:34",2
"2024-12-10 11:41:35",9
"2024-12-10 11:41:36",7
"2024-12-10 11:41:37",2
"2024-12-10 11:41:39",2
"2024-12-10 11:41:40",15
"2024-12-10 11:41:41",5
"2024-12-10 11:41:44",3
"2024-12-10 11:41:45",10
"2024-12-10 11:41:46",7
"2024-12-10 11:41:49",3
"2024-12-10 11:41:50",12
"2024-12-10 11:41:51",5
"2024-12-10 11:41:54",7
"2024-12-10 11:41:55",6
"2024-12-10 11:41:56",4
"2024-12-10 11:41:59",2
"2024-12-10 11:42:00",6
"2024-12-10 11:42:01",10
"2024-12-10 11:42:02",2
"2024-12-10 11:42:05",17
"2024-12-10 11:42:06",4
"2024-12-10 11:42:07",1
"2024-12-10 11:42:09",2
"2024-12-10 11:42:10",12
"2024-12-10 11:42:11",6
"2024-12-10 11:42:14",5
"2024-12-10 11:42:15",9
"2024-12-10 11:42:16",4
"2024-12-10 11:42:17",2
"2024-12-10 11:42:19",6
"2024-12-10 11:42:20",8
"2024-12-10 11:42:21",4
"2024-12-10 11:42:24",2
"2024-12-10 11:42:25",9
"2024-12-10 11:42:26",10
"2024-12-10 11:42:29",1
"2024-12-10 11:42:30",16
"2024-12-10 11:42:31",5
"2024-12-10 11:42:34",5
"2024-12-10 11:42:35",8
"2024-12-10 11:42:36",6
"2024-12-10 11:42:39",4
"2024-12-10 11:42:40",8
"2024-12-10 11:42:41",5
"2024-12-10 11:42:42",2
"2024-12-10 11:42:44",5
"2024-12-10 11:42:45",7
"2024-12-10 11:42:46",5
"2024-12-10 11:42:47",1
"2024-12-10 11:42:49",1
"2024-12-10 11:42:50",10
"2024-12-10 11:42:51",8
"2024-12-10 11:42:52",2
"2024-12-10 11:42:54",1
"2024-12-10 11:42:55",16
"2024-12-10 11:42:56",5
