Time,Label,Elapsed
"2025-02-27 13:16:38",CP01_AC01_Lista,1057
"2025-02-27 13:16:43",CP01_AC02_ListaObjetos,257
"2025-02-27 13:16:44",CP01_AC01_Lista,337
"2025-02-27 13:16:48",CP01_AC03_BuscaObjeto,579
"2025-02-27 13:16:49",CP01_AC02_ListaObjetos,278
"2025-02-27 13:16:50",CP01_AC01_Lista,346
"2025-02-27 13:16:53",CP01_AC04_AddObjecto,255
"2025-02-27 13:16:54",CP01_AC03_BuscaObjeto,296
"2025-02-27 13:16:55",CP01_AC02_ListaObjetos,258
"2025-02-27 13:16:56",CP01_AC01_Lista,327
"2025-02-27 13:16:58",CP01_AC05_ActualizaObjeto,240
"2025-02-27 13:16:59",CP01_AC04_AddObjecto,312
"2025-02-27 13:17:00",CP01_AC03_BuscaObjeto,275
"2025-02-27 13:17:01",CP01_AC02_ListaObjetos,341
"2025-02-27 13:17:02",CP01_AC01_Lista,290
"2025-02-27 13:17:03",CP01_AC01_Lista,295
"2025-02-27 13:17:04",CP01_AC05_ActualizaObjeto,341
"2025-02-27 13:17:05",CP01_AC04_AddObjecto,286
"2025-02-27 13:17:06",CP01_AC03_BuscaObjeto,255
"2025-02-27 13:17:07",CP01_AC02_ListaObjetos,310
"2025-02-27 13:17:08",CP01_AC02_ListaObjetos,261
"2025-02-27 13:17:08",CP01_AC01_Lista,321
"2025-02-27 13:17:09",CP01_AC01_Lista,337
"2025-02-27 13:17:10",CP01_AC05_ActualizaObjeto,291
"2025-02-27 13:17:11",CP01_AC04_AddObjecto,269
"2025-02-27 13:17:12",CP01_AC03_BuscaObjeto,336
"2025-02-27 13:17:13",CP01_AC03_BuscaObjeto,276
"2025-02-27 13:17:13",CP01_AC02_ListaObjetos,286
"2025-02-27 13:17:14",CP01_AC02_ListaObjetos,252
"2025-02-27 13:17:14",CP01_AC01_Lista,365
"2025-02-27 13:17:15",CP01_AC01_Lista,312
"2025-02-27 13:17:16",CP01_AC05_ActualizaObjeto,272
"2025-02-27 13:17:17",CP01_AC04_AddObjecto,269
"2025-02-27 13:17:18",CP01_AC04_AddObjecto,264
"2025-02-27 13:17:18",CP01_AC03_BuscaObjeto,306
"2025-02-27 13:17:19",CP01_AC03_BuscaObjeto,269
"2025-02-27 13:17:19",CP01_AC02_ListaObjetos,274
"2025-02-27 13:17:20",CP01_AC02_ListaObjetos,294
"2025-02-27 13:17:20",CP01_AC01_Lista,341
"2025-02-27 13:17:21",CP01_AC01_Lista,411
"2025-02-27 13:17:22",CP01_AC05_ActualizaObjeto,252
"2025-02-27 13:17:23",CP01_AC05_ActualizaObjeto,286
"2025-02-27 13:17:23",CP01_AC04_AddObjecto,615
"2025-02-27 13:17:24",CP01_AC04_AddObjecto,280
"2025-02-27 13:17:24",CP01_AC03_BuscaObjeto,287
"2025-02-27 13:17:25",CP01_AC03_BuscaObjeto,245
