Time,Label,Elapsed
"2025-03-07 14:44:16",CP01_AC01_Lista,287
"2025-03-07 14:44:21",CP01_AC02_ListaObjetos,244
"2025-03-07 14:44:26",CP01_AC03_BuscaObjeto,286
"2025-03-07 14:44:28",CP01_AC01_Lista,276
"2025-03-07 14:44:31",CP01_AC04_AddObjecto,299
"2025-03-07 14:44:33",CP01_AC02_ListaObjetos,260
"2025-03-07 14:44:36",CP01_AC05_ActualizaObjeto,252
"2025-03-07 14:44:38",CP01_AC03_BuscaObjeto,267
"2025-03-07 14:44:41",CP01_AC01_Lista,284
"2025-03-07 14:44:41",CP01_AC01_Lista,281
"2025-03-07 14:44:43",CP01_AC04_AddObjecto,255
"2025-03-07 14:44:46",CP01_AC02_ListaObjetos,233
"2025-03-07 14:44:46",CP01_AC02_ListaObjetos,251
"2025-03-07 14:44:48",CP01_AC05_ActualizaObjeto,244
"2025-03-07 14:44:51",CP01_AC03_BuscaObjeto,250
"2025-03-07 14:44:51",CP01_AC03_BuscaObjeto,239
"2025-03-07 14:44:53",CP01_AC01_Lista,305
"2025-03-07 14:44:53",CP01_AC01_Lista,301
"2025-03-07 14:44:56",CP01_AC04_AddObjecto,247
"2025-03-07 14:44:56",CP01_AC04_AddObjecto,286
"2025-03-07 14:44:58",CP01_AC02_ListaObjetos,249
"2025-03-07 14:44:58",CP01_AC02_ListaObjetos,240
"2025-03-07 14:45:01",CP01_AC05_ActualizaObjeto,255
"2025-03-07 14:45:01",CP01_AC05_ActualizaObjeto,266
"2025-03-07 14:45:03",CP01_AC03_BuscaObjeto,236
"2025-03-07 14:45:03",CP01_AC03_BuscaObjeto,233
"2025-03-07 14:45:05",CP01_AC01_Lista,283
"2025-03-07 14:45:06",CP01_AC01_Lista,273
"2025-03-07 14:45:06",CP01_AC01_Lista,278
"2025-03-07 14:45:08",CP01_AC04_AddObjecto,259
"2025-03-07 14:45:08",CP01_AC04_AddObjecto,233
"2025-03-07 14:45:10",CP01_AC02_ListaObjetos,233
"2025-03-07 14:45:11",CP01_AC02_ListaObjetos,241
"2025-03-07 14:45:11",CP01_AC02_ListaObjetos,268
"2025-03-07 14:45:13",CP01_AC05_ActualizaObjeto,254
"2025-03-07 14:45:13",CP01_AC05_ActualizaObjeto,256
"2025-03-07 14:45:15",CP01_AC03_BuscaObjeto,250
"2025-03-07 14:45:16",CP01_AC03_BuscaObjeto,259
"2025-03-07 14:45:16",CP01_AC03_BuscaObjeto,269
"2025-03-07 14:45:17",CP01_AC01_Lista,282
"2025-03-07 14:45:18",CP01_AC01_Lista,408
"2025-03-07 14:45:18",CP01_AC01_Lista,303
"2025-03-07 14:45:20",CP01_AC04_AddObjecto,251
"2025-03-07 14:45:21",CP01_AC04_AddObjecto,259
"2025-03-07 14:45:21",CP01_AC04_AddObjecto,248
"2025-03-07 14:45:22",CP01_AC02_ListaObjetos,229
"2025-03-07 14:45:23",CP01_AC02_ListaObjetos,245
"2025-03-07 14:45:23",CP01_AC02_ListaObjetos,259
"2025-03-07 14:45:25",CP01_AC05_ActualizaObjeto,232
"2025-03-07 14:45:26",CP01_AC05_ActualizaObjeto,250
"2025-03-07 14:45:26",CP01_AC05_ActualizaObjeto,250
"2025-03-07 14:45:27",CP01_AC03_BuscaObjeto,255
"2025-03-07 14:45:28",CP01_AC03_BuscaObjeto,254
"2025-03-07 14:45:28",CP01_AC03_BuscaObjeto,258
"2025-03-07 14:45:30",CP01_AC01_Lista,342
"2025-03-07 14:45:30",CP01_AC01_Lista,268
"2025-03-07 14:45:31",CP01_AC01_Lista,284
"2025-03-07 14:45:31",CP01_AC01_Lista,278
"2025-03-07 14:45:32",CP01_AC04_AddObjecto,258
"2025-03-07 14:45:33",CP01_AC04_AddObjecto,241
"2025-03-07 14:45:33",CP01_AC04_AddObjecto,595
"2025-03-07 14:45:35",CP01_AC02_ListaObjetos,248
"2025-03-07 14:45:35",CP01_AC02_ListaObjetos,251
"2025-03-07 14:45:36",CP01_AC02_ListaObjetos,268
"2025-03-07 14:45:36",CP01_AC02_ListaObjetos,241
"2025-03-07 14:45:37",CP01_AC05_ActualizaObjeto,233
"2025-03-07 14:45:38",CP01_AC05_ActualizaObjeto,230
"2025-03-07 14:45:38",CP01_AC05_ActualizaObjeto,260
"2025-03-07 14:45:40",CP01_AC03_BuscaObjeto,235
"2025-03-07 14:45:40",CP01_AC03_BuscaObjeto,259
"2025-03-07 14:45:41",CP01_AC03_BuscaObjeto,256
"2025-03-07 14:45:41",CP01_AC03_BuscaObjeto,259
"2025-03-07 14:45:42",CP01_AC01_Lista,273
"2025-03-07 14:45:42",CP01_AC01_Lista,295
"2025-03-07 14:45:43",CP01_AC01_Lista,298
"2025-03-07 14:45:43",CP01_AC01_Lista,290
"2025-03-07 14:45:45",CP01_AC04_AddObjecto,263
"2025-03-07 14:45:45",CP01_AC04_AddObjecto,243
"2025-03-07 14:45:46",CP01_AC04_AddObjecto,299
"2025-03-07 14:45:46",CP01_AC04_AddObjecto,248
"2025-03-07 14:45:47",CP01_AC02_ListaObjetos,244
"2025-03-07 14:45:47",CP01_AC02_ListaObjetos,248
"2025-03-07 14:45:48",CP01_AC02_ListaObjetos,246
"2025-03-07 14:45:48",CP01_AC02_ListaObjetos,255
"2025-03-07 14:45:50",CP01_AC05_ActualizaObjeto,231
"2025-03-07 14:45:50",CP01_AC05_ActualizaObjeto,245
"2025-03-07 14:45:51",CP01_AC05_ActualizaObjeto,241
"2025-03-07 14:45:51",CP01_AC05_ActualizaObjeto,245
"2025-03-07 14:45:52",CP01_AC03_BuscaObjeto,242
"2025-03-07 14:45:52",CP01_AC03_BuscaObjeto,286
"2025-03-07 14:45:53",CP01_AC03_BuscaObjeto,256
"2025-03-07 14:45:53",CP01_AC03_BuscaObjeto,227
"2025-03-07 14:45:54",CP01_AC01_Lista,291
"2025-03-07 14:45:55",CP01_AC01_Lista,274
"2025-03-07 14:45:55",CP01_AC01_Lista,281
"2025-03-07 14:45:56",CP01_AC01_Lista,296
"2025-03-07 14:45:56",CP01_AC01_Lista,292
"2025-03-07 14:45:57",CP01_AC04_AddObjecto,230
"2025-03-07 14:45:57",CP01_AC04_AddObjecto,304
"2025-03-07 14:45:58",CP01_AC04_AddObjecto,265
"2025-03-07 14:45:58",CP01_AC04_AddObjecto,262
"2025-03-07 14:45:59",CP01_AC02_ListaObjetos,270
"2025-03-07 14:46:00",CP01_AC02_ListaObjetos,282
"2025-03-07 14:46:00",CP01_AC02_ListaObjetos,245
"2025-03-07 14:46:01",CP01_AC02_ListaObjetos,243
"2025-03-07 14:46:01",CP01_AC02_ListaObjetos,243
"2025-03-07 14:46:02",CP01_AC05_ActualizaObjeto,230
"2025-03-07 14:46:02",CP01_AC05_ActualizaObjeto,230
"2025-03-07 14:46:03",CP01_AC05_ActualizaObjeto,286
"2025-03-07 14:46:03",CP01_AC05_ActualizaObjeto,297
"2025-03-07 14:46:04",CP01_AC03_BuscaObjeto,246
"2025-03-07 14:46:05",CP01_AC03_BuscaObjeto,234
"2025-03-07 14:46:05",CP01_AC03_BuscaObjeto,244
"2025-03-07 14:46:06",CP01_AC03_BuscaObjeto,251
"2025-03-07 14:46:06",CP01_AC03_BuscaObjeto,246
"2025-03-07 14:46:06",CP01_AC01_Lista,283
"2025-03-07 14:46:07",CP01_AC01_Lista,284
"2025-03-07 14:46:07",CP01_AC01_Lista,305
"2025-03-07 14:46:08",CP01_AC01_Lista,307
"2025-03-07 14:46:08",CP01_AC01_Lista,281
"2025-03-07 14:46:09",CP01_AC04_AddObjecto,239
"2025-03-07 14:46:10",CP01_AC04_AddObjecto,232
"2025-03-07 14:46:10",CP01_AC04_AddObjecto,238
"2025-03-07 14:46:11",CP01_AC04_AddObjecto,244
"2025-03-07 14:46:11",CP01_AC04_AddObjecto,237
"2025-03-07 14:46:11",CP01_AC02_ListaObjetos,267
"2025-03-07 14:46:12",CP01_AC02_ListaObjetos,258
"2025-03-07 14:46:12",CP01_AC02_ListaObjetos,248
"2025-03-07 14:46:13",CP01_AC02_ListaObjetos,247
"2025-03-07 14:46:13",CP01_AC02_ListaObjetos,245
"2025-03-07 14:46:14",CP01_AC05_ActualizaObjeto,239
"2025-03-07 14:46:15",CP01_AC05_ActualizaObjeto,234
"2025-03-07 14:46:15",CP01_AC05_ActualizaObjeto,288
"2025-03-07 14:46:16",CP01_AC05_ActualizaObjeto,240
"2025-03-07 14:46:16",CP01_AC05_ActualizaObjeto,244
"2025-03-07 14:46:16",CP01_AC03_BuscaObjeto,240
"2025-03-07 14:46:17",CP01_AC03_BuscaObjeto,257
"2025-03-07 14:46:17",CP01_AC03_BuscaObjeto,240
"2025-03-07 14:46:18",CP01_AC03_BuscaObjeto,246
"2025-03-07 14:46:18",CP01_AC03_BuscaObjeto,235
"2025-03-07 14:46:19",CP01_AC01_Lista,271
"2025-03-07 14:46:19",CP01_AC01_Lista,264
"2025-03-07 14:46:20",CP01_AC01_Lista,354
"2025-03-07 14:46:20",CP01_AC01_Lista,331
"2025-03-07 14:46:21",CP01_AC01_Lista,287
"2025-03-07 14:46:21",CP01_AC01_Lista,272
"2025-03-07 14:46:21",CP01_AC04_AddObjecto,298
"2025-03-07 14:46:22",CP01_AC04_AddObjecto,242
