Time,Label,Elapsed
"2024-12-09 11:15:55",CP01_AC01_Inventario,696
"2024-12-09 11:16:08",CP01_AC02_Buscar,107
"2024-12-09 11:16:10",CP01_AC01_Inventario,424
"2024-12-09 11:16:21",CP02_AC01_NuevaMascota,112
"2024-12-09 11:16:22",CP01_AC02_Buscar,123
"2024-12-09 11:16:26",CP01_AC01_Inventario,373
"2024-12-09 11:16:32",CP01_AC01_Inventario,425
"2024-12-09 11:16:36",CP02_AC01_NuevaMascota,119
"2024-12-09 11:16:38",CP01_AC02_Buscar,104
"2024-12-09 11:16:40",CP01_AC01_Inventario,405
"2024-12-09 11:16:43",CP01_AC02_Buscar,120
"2024-12-09 11:16:47",CP01_AC01_Inventario,391
"2024-12-09 11:16:51",CP02_AC01_NuevaMascota,91
"2024-12-09 11:16:52",CP01_AC02_Buscar,107
"2024-12-09 11:16:56",CP01_AC01_Inventario,469
"2024-12-09 11:16:57",CP02_AC01_NuevaMascota,106
"2024-12-09 11:16:59",CP01_AC02_Buscar,92
"2024-12-09 11:17:02",CP01_AC01_Inventario,458
"2024-12-09 11:17:05",CP02_AC01_NuevaMascota,116
"2024-12-09 11:17:07",CP01_AC01_Inventario,423
"2024-12-09 11:17:07",CP01_AC02_Buscar,119
"2024-12-09 11:17:12",CP02_AC01_NuevaMascota,104
"2024-12-09 11:17:13",CP01_AC02_Buscar,106
"2024-12-09 11:17:16",CP01_AC01_Inventario,355
"2024-12-09 11:17:20",CP01_AC02_Buscar,123
"2024-12-09 11:17:21",CP02_AC01_NuevaMascota,123
"2024-12-09 11:17:22",CP01_AC01_Inventario,362
"2024-12-09 11:17:27",CP02_AC01_NuevaMascota,104
"2024-12-09 11:17:29",CP01_AC02_Buscar,102
"2024-12-09 11:17:31",CP01_AC01_Inventario,364
"2024-12-09 11:17:33",CP02_AC01_NuevaMascota,119
"2024-12-09 11:17:35",CP01_AC02_Buscar,104
"2024-12-09 11:17:38",CP01_AC01_Inventario,413
"2024-12-09 11:17:41",CP02_AC01_NuevaMascota,110
"2024-12-09 11:17:43",CP01_AC02_Buscar,103
"2024-12-09 11:17:44",CP01_AC01_Inventario,359
"2024-12-09 11:17:48",CP02_AC01_NuevaMascota,104
"2024-12-09 11:17:50",CP01_AC02_Buscar,126
"2024-12-09 11:17:52",CP01_AC01_Inventario,430
"2024-12-09 11:17:56",CP01_AC02_Buscar,104
"2024-12-09 11:17:57",CP02_AC01_NuevaMascota,106
"2024-12-09 11:17:59",CP01_AC01_Inventario,427
"2024-12-09 11:18:02",CP02_AC01_NuevaMascota,120
"2024-12-09 11:18:05",CP01_AC02_Buscar,119
"2024-12-09 11:18:07",CP01_AC01_Inventario,431
"2024-12-09 11:18:08",CP01_AC01_Inventario,406
"2024-12-09 11:18:08",CP02_AC01_NuevaMascota,104
"2024-12-09 11:18:10",CP01_AC02_Buscar,125
"2024-12-09 11:18:14",CP01_AC01_Inventario,700
"2024-12-09 11:18:16",CP01_AC01_Inventario,404
"2024-12-09 11:18:19",CP01_AC01_Inventario,420
"2024-12-09 11:18:19",CP01_AC01_Inventario,428
"2024-12-09 11:18:19",CP01_AC02_Buscar,120
"2024-12-09 11:18:20",CP01_AC02_Buscar,115
"2024-12-09 11:18:24",CP02_AC01_NuevaMascota,119
"2024-12-09 11:18:25",CP01_AC02_Buscar,117
"2024-12-09 11:18:28",CP01_AC02_Buscar,124
"2024-12-09 11:18:31",CP01_AC02_Buscar,120
"2024-12-09 11:18:32",CP01_AC02_Buscar,123
"2024-12-09 11:18:32",CP01_AC01_Inventario,424
"2024-12-09 11:18:32",CP02_AC01_NuevaMascota,115
"2024-12-09 11:18:33",CP02_AC01_NuevaMascota,121
"2024-12-09 11:18:34",CP01_AC01_Inventario,513
"2024-12-09 11:18:39",CP02_AC01_NuevaMascota,107
"2024-12-09 11:18:42",CP02_AC01_NuevaMascota,116
"2024-12-09 11:18:43",CP01_AC01_Inventario,361
"2024-12-09 11:18:43",CP01_AC01_Inventario,424
"2024-12-09 11:18:44",CP01_AC01_Inventario,400
"2024-12-09 11:18:44",CP01_AC02_Buscar,116
"2024-12-09 11:18:44",CP02_AC01_NuevaMascota,119
"2024-12-09 11:18:45",CP02_AC01_NuevaMascota,123
"2024-12-09 11:18:46",CP01_AC02_Buscar,121
