Time,Label,Elapsed
"2024-12-09 11:55:51",CP01_AC01_Inventario,419
"2024-12-09 11:56:04",CP01_AC02_Buscar,121
"2024-12-09 11:56:16",CP02_AC01_NuevaMascota,114
"2024-12-09 11:56:19",CP01_AC01_Inventario,393
"2024-12-09 11:56:28",CP01_AC01_Inventario,530
"2024-12-09 11:56:31",CP01_AC02_Buscar,106
"2024-12-09 11:56:39",CP01_AC02_Buscar,121
"2024-12-09 11:56:44",CP02_AC01_NuevaMascota,116
"2024-12-09 11:56:46",CP01_AC01_Inventario,386
"2024-12-09 11:56:53",CP02_AC01_NuevaMascota,123
"2024-12-09 11:56:55",CP01_AC01_Inventario,369
"2024-12-09 11:56:58",CP01_AC02_Buscar,109
"2024-12-09 11:57:03",CP01_AC01_Inventario,507
"2024-12-09 11:57:07",CP01_AC02_Buscar,106
"2024-12-09 11:57:11",CP02_AC01_NuevaMascota,105
"2024-12-09 11:57:14",CP01_AC01_Inventario,472
"2024-12-09 11:57:16",CP01_AC02_Buscar,108
"2024-12-09 11:57:19",CP02_AC01_NuevaMascota,106
"2024-12-09 11:57:22",CP01_AC01_Inventario,433
"2024-12-09 11:57:26",CP01_AC02_Buscar,120
"2024-12-09 11:57:28",CP02_AC01_NuevaMascota,112
"2024-12-09 11:57:31",CP01_AC01_Inventario,424
"2024-12-09 11:57:34",CP01_AC02_Buscar,216
"2024-12-09 11:57:38",CP02_AC01_NuevaMascota,123
"2024-12-09 11:57:39",CP01_AC01_Inventario,365
"2024-12-09 11:57:41",CP01_AC01_Inventario,653
"2024-12-09 11:57:43",CP01_AC02_Buscar,105
"2024-12-09 11:57:48",CP02_AC01_NuevaMascota,110
"2024-12-09 11:57:49",CP01_AC01_Inventario,449
"2024-12-09 11:57:52",CP01_AC02_Buscar,96
"2024-12-09 11:57:53",CP01_AC02_Buscar,109
"2024-12-09 11:57:56",CP02_AC01_NuevaMascota,106
"2024-12-09 11:57:58",CP01_AC01_Inventario,406
"2024-12-09 11:58:02",CP01_AC02_Buscar,111
"2024-12-09 11:58:05",CP02_AC01_NuevaMascota,123
"2024-12-09 11:58:05",CP02_AC01_NuevaMascota,117
"2024-12-09 11:58:07",CP01_AC01_Inventario,366
"2024-12-09 11:58:08",CP01_AC01_Inventario,431
"2024-12-09 11:58:10",CP01_AC02_Buscar,118
"2024-12-09 11:58:14",CP02_AC01_NuevaMascota,117
"2024-12-09 11:58:15",CP01_AC01_Inventario,744
"2024-12-09 11:58:16",CP01_AC01_Inventario,384
"2024-12-09 11:58:19",CP01_AC02_Buscar,106
"2024-12-09 11:58:20",CP01_AC02_Buscar,124
"2024-12-09 11:58:23",CP02_AC01_NuevaMascota,115
