Time,Label,Elapsed
"2025-02-27 16:42:38",CP01_AC01_Inventario,587
"2025-02-27 16:42:43",CP01_AC02_Buscar,93
"2025-02-27 16:42:44",CP01_AC01_Inventario,430
"2025-02-27 16:42:48",CP02_AC01_NuevaMascota,92
"2025-02-27 16:42:49",CP01_AC02_Buscar,104
"2025-02-27 16:42:50",CP01_AC01_Inventario,385
"2025-02-27 16:42:53",CP01_AC01_Inventario,391
"2025-02-27 16:42:54",CP02_AC01_NuevaMascota,107
"2025-02-27 16:42:55",CP01_AC02_Buscar,92
"2025-02-27 16:42:56",CP01_AC01_Inventario,381
"2025-02-27 16:42:58",CP01_AC02_Buscar,91
"2025-02-27 16:42:59",CP01_AC01_Inventario,377
"2025-02-27 16:43:00",CP02_AC01_NuevaMascota,675
"2025-02-27 16:43:01",CP01_AC02_Buscar,91
"2025-02-27 16:43:02",CP01_AC01_Inventario,404
"2025-02-27 16:43:03",CP02_AC01_NuevaMascota,108
"2025-02-27 16:43:04",CP01_AC02_Buscar,94
"2025-02-27 16:43:05",CP01_AC01_Inventario,460
"2025-02-27 16:43:06",CP02_AC01_NuevaMascota,95
"2025-02-27 16:43:07",CP01_AC02_Buscar,102
"2025-02-27 16:43:08",CP01_AC01_Inventario,388
"2025-02-27 16:43:08",CP01_AC01_Inventario,402
"2025-02-27 16:43:09",CP02_AC01_NuevaMascota,94
"2025-02-27 16:43:10",CP01_AC02_Buscar,90
"2025-02-27 16:43:11",CP01_AC01_Inventario,392
"2025-02-27 16:43:12",CP02_AC01_NuevaMascota,109
"2025-02-27 16:43:13",CP01_AC02_Buscar,108
"2025-02-27 16:43:13",CP01_AC02_Buscar,92
"2025-02-27 16:43:14",CP01_AC01_Inventario,380
"2025-02-27 16:43:15",CP01_AC01_Inventario,372
"2025-02-27 16:43:15",CP02_AC01_NuevaMascota,103
"2025-02-27 16:43:16",CP01_AC02_Buscar,94
"2025-02-27 16:43:17",CP01_AC01_Inventario,373
"2025-02-27 16:43:18",CP02_AC01_NuevaMascota,94
"2025-02-27 16:43:18",CP02_AC01_NuevaMascota,102
"2025-02-27 16:43:19",CP01_AC02_Buscar,93
"2025-02-27 16:43:20",CP01_AC02_Buscar,95
"2025-02-27 16:43:20",CP01_AC01_Inventario,370
"2025-02-27 16:43:21",CP01_AC01_Inventario,392
"2025-02-27 16:43:21",CP01_AC01_Inventario,370
"2025-02-27 16:43:22",CP01_AC02_Buscar,91
"2025-02-27 16:43:23",CP01_AC01_Inventario,380
"2025-02-27 16:43:23",CP01_AC01_Inventario,487
"2025-02-27 16:43:24",CP02_AC01_NuevaMascota,94
"2025-02-27 16:43:25",CP02_AC01_NuevaMascota,96
"2025-02-27 16:43:25",CP01_AC02_Buscar,94
"2025-02-27 16:43:26",CP01_AC02_Buscar,95
"2025-02-27 16:43:26",CP01_AC02_Buscar,93
"2025-02-27 16:43:27",CP01_AC01_Inventario,452
"2025-02-27 16:43:27",CP02_AC01_NuevaMascota,94
"2025-02-27 16:43:28",CP01_AC02_Buscar,90
"2025-02-27 16:43:28",CP01_AC02_Buscar,92
"2025-02-27 16:43:29",CP01_AC01_Inventario,366
"2025-02-27 16:43:30",CP01_AC01_Inventario,371
"2025-02-27 16:43:30",CP02_AC01_NuevaMascota,98
"2025-02-27 16:43:31",CP02_AC01_NuevaMascota,152
"2025-02-27 16:43:31",CP02_AC01_NuevaMascota,96
"2025-02-27 16:43:32",CP01_AC02_Buscar,89
"2025-02-27 16:43:32",CP01_AC01_Inventario,404
"2025-02-27 16:43:33",CP02_AC01_NuevaMascota,91
"2025-02-27 16:43:33",CP01_AC01_Inventario,358
"2025-02-27 16:43:33",CP02_AC01_NuevaMascota,94
"2025-02-27 16:43:34",CP01_AC02_Buscar,99
"2025-02-27 16:43:35",CP01_AC02_Buscar,93
"2025-02-27 16:43:35",CP01_AC01_Inventario,380
"2025-02-27 16:43:36",CP01_AC01_Inventario,409
"2025-02-27 16:43:36",CP01_AC01_Inventario,390
"2025-02-27 16:43:37",CP02_AC01_NuevaMascota,101
"2025-02-27 16:43:37",CP01_AC02_Buscar,98
"2025-02-27 16:43:38",CP01_AC01_Inventario,392
"2025-02-27 16:43:38",CP01_AC02_Buscar,96
"2025-02-27 16:43:38",CP01_AC01_Inventario,392
"2025-02-27 16:43:39",CP02_AC01_NuevaMascota,101
"2025-02-27 16:43:39",CP01_AC01_Inventario,529
"2025-02-27 16:43:40",CP02_AC01_NuevaMascota,101
"2025-02-27 16:43:40",CP01_AC02_Buscar,103
"2025-02-27 16:43:41",CP01_AC02_Buscar,101
"2025-02-27 16:43:41",CP01_AC02_Buscar,89
"2025-02-27 16:43:42",CP01_AC01_Inventario,377
"2025-02-27 16:43:42",CP02_AC01_NuevaMascota,102
"2025-02-27 16:43:43",CP01_AC02_Buscar,93
"2025-02-27 16:43:43",CP02_AC01_NuevaMascota,103
"2025-02-27 16:43:43",CP01_AC02_Buscar,91
"2025-02-27 16:43:44",CP01_AC01_Inventario,431
"2025-02-27 16:43:44",CP01_AC02_Buscar,107
"2025-02-27 16:43:45",CP01_AC01_Inventario,361
"2025-02-27 16:43:45",CP02_AC01_NuevaMascota,88
"2025-02-27 16:43:45",CP01_AC01_Inventario,434
"2025-02-27 16:43:46",CP02_AC01_NuevaMascota,103
"2025-02-27 16:43:46",CP02_AC01_NuevaMascota,91
"2025-02-27 16:43:47",CP01_AC02_Buscar,230
"2025-02-27 16:43:47",CP01_AC01_Inventario,372
"2025-02-27 16:43:48",CP02_AC01_NuevaMascota,94
"2025-02-27 16:43:48",CP01_AC01_Inventario,366
"2025-02-27 16:43:48",CP02_AC01_NuevaMascota,107
"2025-02-27 16:43:49",CP01_AC02_Buscar,100
"2025-02-27 16:43:49",CP02_AC01_NuevaMascota,105
"2025-02-27 16:43:50",CP01_AC02_Buscar,96
"2025-02-27 16:43:50",CP01_AC01_Inventario,365
"2025-02-27 16:43:50",CP01_AC02_Buscar,104
"2025-02-27 16:43:51",CP01_AC01_Inventario,370
"2025-02-27 16:43:51",CP01_AC01_Inventario,360
"2025-02-27 16:43:51",CP01_AC01_Inventario,362
"2025-02-27 16:43:52",CP02_AC01_NuevaMascota,90
"2025-02-27 16:43:52",CP01_AC02_Buscar,91
"2025-02-27 16:43:53",CP01_AC01_Inventario,409
"2025-02-27 16:43:53",CP01_AC02_Buscar,114
"2025-02-27 16:43:53",CP01_AC01_Inventario,387
"2025-02-27 16:43:54",CP02_AC01_NuevaMascota,103
"2025-02-27 16:43:54",CP01_AC01_Inventario,372
"2025-02-27 16:43:55",CP02_AC01_NuevaMascota,93
"2025-02-27 16:43:55",CP01_AC02_Buscar,111
"2025-02-27 16:43:55",CP02_AC01_NuevaMascota,133
"2025-02-27 16:43:56",CP01_AC02_Buscar,455
"2025-02-27 16:43:56",CP01_AC02_Buscar,90
"2025-02-27 16:43:56",CP01_AC02_Buscar,91
"2025-02-27 16:43:57",CP01_AC01_Inventario,381
"2025-02-27 16:43:57",CP02_AC01_NuevaMascota,114
"2025-02-27 16:43:57",CP01_AC01_Inventario,368
"2025-02-27 16:43:58",CP01_AC02_Buscar,101
"2025-02-27 16:43:58",CP02_AC01_NuevaMascota,91
"2025-02-27 16:43:58",CP01_AC02_Buscar,96
"2025-02-27 16:43:59",CP01_AC01_Inventario,417
"2025-02-27 16:43:59",CP01_AC02_Buscar,96
"2025-02-27 16:44:00",CP01_AC01_Inventario,668
"2025-02-27 16:44:00",CP02_AC01_NuevaMascota,92
"2025-02-27 16:44:00",CP01_AC01_Inventario,400
"2025-02-27 16:44:01",CP02_AC01_NuevaMascota,91
"2025-02-27 16:44:01",CP02_AC01_NuevaMascota,95
"2025-02-27 16:44:01",CP02_AC01_NuevaMascota,93
"2025-02-27 16:44:02",CP01_AC02_Buscar,88
"2025-02-27 16:44:02",CP01_AC01_Inventario,388
