Time,Label,Elapsed
"2025-03-04 16:47:59",CP01_AC01_Inventario,437
"2025-03-04 16:48:04",CP01_AC02_Buscar,144
"2025-03-04 16:48:09",CP02_AC01_NuevaMascota,97
"2025-03-04 16:48:14",CP01_AC01_Inventario,381
"2025-03-04 16:48:19",CP01_AC02_Buscar,96
"2025-03-04 16:48:24",CP02_AC01_NuevaMascota,102
"2025-03-04 16:48:29",CP01_AC01_Inventario,405
"2025-03-04 16:48:34",CP01_AC02_Buscar,104
"2025-03-04 16:48:39",CP02_AC01_NuevaMascota,114
"2025-03-04 16:48:41",CP01_AC01_Inventario,411
"2025-03-04 16:48:44",CP01_AC01_Inventario,417
"2025-03-04 16:48:46",CP01_AC02_Buscar,91
"2025-03-04 16:48:49",CP01_AC02_Buscar,99
"2025-03-04 16:48:51",CP01_AC01_Inventario,363
"2025-03-04 16:48:54",CP02_AC01_NuevaMascota,113
"2025-03-04 16:48:56",CP01_AC02_Buscar,89
"2025-03-04 16:48:59",CP01_AC01_Inventario,361
"2025-03-04 16:49:01",CP02_AC01_NuevaMascota,93
"2025-03-04 16:49:04",CP01_AC02_Buscar,88
"2025-03-04 16:49:06",CP01_AC01_Inventario,374
"2025-03-04 16:49:09",CP02_AC01_NuevaMascota,105
"2025-03-04 16:49:11",CP01_AC02_Buscar,90
"2025-03-04 16:49:14",CP01_AC01_Inventario,446
"2025-03-04 16:49:16",CP02_AC01_NuevaMascota,94
"2025-03-04 16:49:19",CP01_AC02_Buscar,103
"2025-03-04 16:49:21",CP01_AC01_Inventario,420
"2025-03-04 16:49:24",CP02_AC01_NuevaMascota,100
"2025-03-04 16:49:24",CP01_AC01_Inventario,363
"2025-03-04 16:49:26",CP01_AC02_Buscar,105
"2025-03-04 16:49:29",CP01_AC01_Inventario,371
"2025-03-04 16:49:29",CP01_AC02_Buscar,92
"2025-03-04 16:49:31",CP02_AC01_NuevaMascota,105
"2025-03-04 16:49:34",CP01_AC02_Buscar,90
"2025-03-04 16:49:34",CP01_AC01_Inventario,361
"2025-03-04 16:49:36",CP01_AC01_Inventario,427
"2025-03-04 16:49:39",CP02_AC01_NuevaMascota,94
"2025-03-04 16:49:39",CP01_AC02_Buscar,88
"2025-03-04 16:49:41",CP01_AC02_Buscar,101
"2025-03-04 16:49:44",CP01_AC01_Inventario,397
"2025-03-04 16:49:44",CP02_AC01_NuevaMascota,216
"2025-03-04 16:49:46",CP02_AC01_NuevaMascota,102
"2025-03-04 16:49:49",CP01_AC02_Buscar,100
"2025-03-04 16:49:49",CP01_AC01_Inventario,355
"2025-03-04 16:49:51",CP01_AC01_Inventario,386
"2025-03-04 16:49:54",CP02_AC01_NuevaMascota,100
"2025-03-04 16:49:54",CP01_AC02_Buscar,89
"2025-03-04 16:49:56",CP01_AC02_Buscar,87
"2025-03-04 16:49:59",CP01_AC01_Inventario,362
"2025-03-04 16:49:59",CP02_AC01_NuevaMascota,91
"2025-03-04 16:50:01",CP02_AC01_NuevaMascota,92
"2025-03-04 16:50:04",CP01_AC02_Buscar,90
"2025-03-04 16:50:04",CP01_AC01_Inventario,365
"2025-03-04 16:50:06",CP01_AC01_Inventario,360
"2025-03-04 16:50:07",CP01_AC01_Inventario,364
"2025-03-04 16:50:09",CP02_AC01_NuevaMascota,97
"2025-03-04 16:50:09",CP01_AC02_Buscar,92
"2025-03-04 16:50:11",CP01_AC02_Buscar,88
"2025-03-04 16:50:12",CP01_AC02_Buscar,89
"2025-03-04 16:50:14",CP01_AC01_Inventario,359
"2025-03-04 16:50:14",CP02_AC01_NuevaMascota,110
"2025-03-04 16:50:16",CP02_AC01_NuevaMascota,94
"2025-03-04 16:50:17",CP02_AC01_NuevaMascota,93
"2025-03-04 16:50:19",CP01_AC02_Buscar,87
"2025-03-04 16:50:19",CP01_AC01_Inventario,385
"2025-03-04 16:50:21",CP01_AC01_Inventario,359
"2025-03-04 16:50:22",CP01_AC01_Inventario,355
"2025-03-04 16:50:24",CP02_AC01_NuevaMascota,91
"2025-03-04 16:50:24",CP01_AC02_Buscar,90
"2025-03-04 16:50:26",CP01_AC02_Buscar,88
"2025-03-04 16:50:27",CP01_AC02_Buscar,90
"2025-03-04 16:50:29",CP01_AC01_Inventario,389
"2025-03-04 16:50:29",CP02_AC01_NuevaMascota,101
"2025-03-04 16:50:31",CP02_AC01_NuevaMascota,93
"2025-03-04 16:50:32",CP02_AC01_NuevaMascota,91
"2025-03-04 16:50:34",CP01_AC02_Buscar,91
"2025-03-04 16:50:34",CP01_AC01_Inventario,390
"2025-03-04 16:50:36",CP01_AC01_Inventario,363
"2025-03-04 16:50:37",CP01_AC01_Inventario,364
"2025-03-04 16:50:39",CP02_AC01_NuevaMascota,94
"2025-03-04 16:50:39",CP01_AC02_Buscar,96
"2025-03-04 16:50:41",CP01_AC02_Buscar,92
"2025-03-04 16:50:42",CP01_AC02_Buscar,93
"2025-03-04 16:50:44",CP01_AC01_Inventario,354
"2025-03-04 16:50:44",CP02_AC01_NuevaMascota,92
"2025-03-04 16:50:46",CP02_AC01_NuevaMascota,91
"2025-03-04 16:50:47",CP02_AC01_NuevaMascota,91
"2025-03-04 16:50:49",CP01_AC02_Buscar,88
"2025-03-04 16:50:49",CP01_AC01_Inventario,390
"2025-03-04 16:50:50",CP01_AC01_Inventario,450
"2025-03-04 16:50:51",CP01_AC01_Inventario,379
"2025-03-04 16:50:52",CP01_AC01_Inventario,368
"2025-03-04 16:50:54",CP02_AC01_NuevaMascota,94
"2025-03-04 16:50:54",CP01_AC02_Buscar,103
"2025-03-04 16:50:55",CP01_AC02_Buscar,97
"2025-03-04 16:50:56",CP01_AC02_Buscar,90
"2025-03-04 16:50:57",CP01_AC02_Buscar,90
"2025-03-04 16:50:59",CP01_AC01_Inventario,362
"2025-03-04 16:50:59",CP02_AC01_NuevaMascota,99
"2025-03-04 16:51:00",CP02_AC01_NuevaMascota,100
"2025-03-04 16:51:01",CP02_AC01_NuevaMascota,93
"2025-03-04 16:51:02",CP02_AC01_NuevaMascota,93
"2025-03-04 16:51:04",CP01_AC02_Buscar,98
"2025-03-04 16:51:04",CP01_AC01_Inventario,361
"2025-03-04 16:51:05",CP01_AC01_Inventario,409
"2025-03-04 16:51:06",CP01_AC01_Inventario,366
"2025-03-04 16:51:07",CP01_AC01_Inventario,399
"2025-03-04 16:51:09",CP02_AC01_NuevaMascota,94
"2025-03-04 16:51:09",CP01_AC02_Buscar,90
"2025-03-04 16:51:10",CP01_AC02_Buscar,102
"2025-03-04 16:51:11",CP01_AC02_Buscar,90
"2025-03-04 16:51:12",CP01_AC02_Buscar,98
"2025-03-04 16:51:14",CP01_AC01_Inventario,378
"2025-03-04 16:51:14",CP02_AC01_NuevaMascota,91
"2025-03-04 16:51:15",CP02_AC01_NuevaMascota,99
"2025-03-04 16:51:16",CP02_AC01_NuevaMascota,94
"2025-03-04 16:51:17",CP02_AC01_NuevaMascota,105
"2025-03-04 16:51:19",CP01_AC02_Buscar,89
"2025-03-04 16:51:19",CP01_AC01_Inventario,363
"2025-03-04 16:51:20",CP01_AC01_Inventario,393
"2025-03-04 16:51:21",CP01_AC01_Inventario,444
"2025-03-04 16:51:22",CP01_AC01_Inventario,361
"2025-03-04 16:51:24",CP02_AC01_NuevaMascota,90
"2025-03-04 16:51:24",CP01_AC02_Buscar,89
"2025-03-04 16:51:25",CP01_AC02_Buscar,98
"2025-03-04 16:51:26",CP01_AC02_Buscar,89
"2025-03-04 16:51:27",CP01_AC02_Buscar,93
"2025-03-04 16:51:29",CP01_AC01_Inventario,364
"2025-03-04 16:51:29",CP02_AC01_NuevaMascota,93
"2025-03-04 16:51:30",CP02_AC01_NuevaMascota,102
"2025-03-04 16:51:31",CP02_AC01_NuevaMascota,93
"2025-03-04 16:51:32",CP02_AC01_NuevaMascota,102
"2025-03-04 16:51:33",CP01_AC01_Inventario,364
"2025-03-04 16:51:34",CP01_AC02_Buscar,89
"2025-03-04 16:51:34",CP01_AC01_Inventario,367
"2025-03-04 16:51:35",CP01_AC01_Inventario,364
"2025-03-04 16:51:36",CP01_AC01_Inventario,369
"2025-03-04 16:51:37",CP01_AC01_Inventario,448
"2025-03-04 16:51:38",CP01_AC02_Buscar,92
"2025-03-04 16:51:39",CP02_AC01_NuevaMascota,99
"2025-03-04 16:51:39",CP01_AC02_Buscar,89
"2025-03-04 16:51:40",CP01_AC02_Buscar,109
"2025-03-04 16:51:41",CP01_AC02_Buscar,111
"2025-03-04 16:51:42",CP01_AC02_Buscar,106
"2025-03-04 16:51:43",CP02_AC01_NuevaMascota,92
"2025-03-04 16:51:44",CP01_AC01_Inventario,360
"2025-03-04 16:51:44",CP02_AC01_NuevaMascota,126
"2025-03-04 16:51:45",CP02_AC01_NuevaMascota,90
"2025-03-04 16:51:46",CP02_AC01_NuevaMascota,99
"2025-03-04 16:51:47",CP02_AC01_NuevaMascota,106
"2025-03-04 16:51:48",CP01_AC01_Inventario,367
"2025-03-04 16:51:49",CP01_AC02_Buscar,89
"2025-03-04 16:51:49",CP01_AC01_Inventario,358
"2025-03-04 16:51:50",CP01_AC01_Inventario,360
"2025-03-04 16:51:51",CP01_AC01_Inventario,390
"2025-03-04 16:51:52",CP01_AC01_Inventario,355
"2025-03-04 16:51:53",CP01_AC02_Buscar,89
"2025-03-04 16:51:54",CP02_AC01_NuevaMascota,92
"2025-03-04 16:51:54",CP01_AC02_Buscar,91
"2025-03-04 16:51:55",CP01_AC02_Buscar,89
"2025-03-04 16:51:56",CP01_AC02_Buscar,100
"2025-03-04 16:51:57",CP01_AC02_Buscar,92
"2025-03-04 16:51:58",CP02_AC01_NuevaMascota,93
"2025-03-04 16:51:59",CP01_AC01_Inventario,367
"2025-03-04 16:51:59",CP01_AC01_Inventario,387
"2025-03-04 16:52:00",CP02_AC01_NuevaMascota,95
"2025-03-04 16:52:01",CP02_AC01_NuevaMascota,99
"2025-03-04 16:52:02",CP02_AC01_NuevaMascota,97
"2025-03-04 16:52:03",CP01_AC01_Inventario,459
"2025-03-04 16:52:04",CP01_AC02_Buscar,91
"2025-03-04 16:52:04",CP01_AC02_Buscar,90
"2025-03-04 16:52:05",CP01_AC01_Inventario,364
"2025-03-04 16:52:06",CP01_AC01_Inventario,383
"2025-03-04 16:52:07",CP01_AC01_Inventario,367
"2025-03-04 16:52:08",CP01_AC02_Buscar,92
"2025-03-04 16:52:09",CP02_AC01_NuevaMascota,94
"2025-03-04 16:52:09",CP02_AC01_NuevaMascota,94
"2025-03-04 16:52:10",CP01_AC02_Buscar,94
"2025-03-04 16:52:11",CP01_AC02_Buscar,90
"2025-03-04 16:52:12",CP01_AC02_Buscar,94
"2025-03-04 16:52:13",CP02_AC01_NuevaMascota,95
"2025-03-04 16:52:14",CP01_AC01_Inventario,365
"2025-03-04 16:52:14",CP01_AC01_Inventario,356
"2025-03-04 16:52:15",CP02_AC01_NuevaMascota,90
"2025-03-04 16:52:16",CP01_AC01_Inventario,359
"2025-03-04 16:52:16",CP02_AC01_NuevaMascota,94
"2025-03-04 16:52:17",CP02_AC01_NuevaMascota,105
"2025-03-04 16:52:18",CP01_AC01_Inventario,357
"2025-03-04 16:52:19",CP01_AC02_Buscar,91
"2025-03-04 16:52:19",CP01_AC02_Buscar,90
"2025-03-04 16:52:20",CP01_AC01_Inventario,354
"2025-03-04 16:52:21",CP01_AC02_Buscar,90
"2025-03-04 16:52:21",CP01_AC01_Inventario,401
"2025-03-04 16:52:22",CP01_AC01_Inventario,425
"2025-03-04 16:52:23",CP01_AC02_Buscar,90
"2025-03-04 16:52:24",CP01_AC01_Inventario,392
"2025-03-04 16:52:24",CP02_AC01_NuevaMascota,94
"2025-03-04 16:52:25",CP01_AC02_Buscar,90
"2025-03-04 16:52:26",CP02_AC01_NuevaMascota,93
"2025-03-04 16:52:26",CP01_AC02_Buscar,102
"2025-03-04 16:52:27",CP01_AC02_Buscar,97
"2025-03-04 16:52:28",CP02_AC01_NuevaMascota,95
"2025-03-04 16:52:29",CP01_AC02_Buscar,89
"2025-03-04 16:52:29",CP01_AC01_Inventario,402
"2025-03-04 16:52:30",CP02_AC01_NuevaMascota,99
"2025-03-04 16:52:31",CP01_AC01_Inventario,373
"2025-03-04 16:52:31",CP02_AC01_NuevaMascota,109
"2025-03-04 16:52:32",CP02_AC01_NuevaMascota,96
"2025-03-04 16:52:33",CP01_AC01_Inventario,389
"2025-03-04 16:52:34",CP02_AC01_NuevaMascota,95
"2025-03-04 16:52:34",CP01_AC02_Buscar,92
"2025-03-04 16:52:35",CP01_AC01_Inventario,364
"2025-03-04 16:52:36",CP01_AC02_Buscar,92
"2025-03-04 16:52:36",CP01_AC01_Inventario,365
"2025-03-04 16:52:37",CP01_AC01_Inventario,374
"2025-03-04 16:52:38",CP01_AC02_Buscar,93
"2025-03-04 16:52:39",CP01_AC01_Inventario,420
"2025-03-04 16:52:39",CP02_AC01_NuevaMascota,95
"2025-03-04 16:52:40",CP01_AC02_Buscar,91
"2025-03-04 16:52:41",CP02_AC01_NuevaMascota,99
"2025-03-04 16:52:41",CP01_AC02_Buscar,92
"2025-03-04 16:52:42",CP01_AC02_Buscar,92
"2025-03-04 16:52:43",CP02_AC01_NuevaMascota,91
"2025-03-04 16:52:44",CP01_AC02_Buscar,87
"2025-03-04 16:52:44",CP01_AC01_Inventario,362
"2025-03-04 16:52:45",CP02_AC01_NuevaMascota,92
"2025-03-04 16:52:46",CP01_AC01_Inventario,428
"2025-03-04 16:52:46",CP02_AC01_NuevaMascota,95
