Time,Label,Elapsed
"2024-12-09 16:01:39",CP01_AC00_Buscar_Vuelos::,657
"2024-12-09 16:01:40",CP01_AC01_Buscar,657
"2024-12-09 16:01:41",CP02_AC00_SeleccionaVuelo::,399
"2024-12-09 16:01:45",CP02_AC01_SeleccionaVuelo,399
"2024-12-09 16:01:45",CP03_AC00_Comprar_Vuelo::,671
"2024-12-09 16:01:49",CP03_AC01_Comprar_Vuelo_Pursache,365
"2024-12-09 16:01:56",CP03_AC02_Comprar_Vuelo_Confirmacion,306
"2024-12-09 16:01:57",CP04_AC00_Home::,357
"2024-12-09 16:02:00",CP04_AC01_Home,357
"2024-12-09 16:02:01",CP01_AC00_Buscar_Vuelos::,404
"2024-12-09 16:02:01",CP01_AC00_Buscar_Vuelos::,402
"2024-12-09 16:02:02",CP01_AC01_Buscar,402
"2024-12-09 16:02:02",CP02_AC00_SeleccionaVuelo::,291
"2024-12-09 16:02:05",CP01_AC01_Buscar,404
"2024-12-09 16:02:06",CP02_AC00_SeleccionaVuelo::,321
"2024-12-09 16:02:06",CP02_AC01_SeleccionaVuelo,291
"2024-12-09 16:02:06",CP03_AC00_Comprar_Vuelo::,597
"2024-12-09 16:02:09",CP02_AC01_SeleccionaVuelo,321
"2024-12-09 16:02:10",CP03_AC00_Comprar_Vuelo::,637
"2024-12-09 16:02:11",CP03_AC01_Comprar_Vuelo_Pursache,286
"2024-12-09 16:02:14",CP03_AC01_Comprar_Vuelo_Pursache,349
"2024-12-09 16:02:17",CP03_AC02_Comprar_Vuelo_Confirmacion,311
"2024-12-09 16:02:18",CP04_AC00_Home::,378
"2024-12-09 16:02:21",CP03_AC02_Comprar_Vuelo_Confirmacion,288
"2024-12-09 16:02:21",CP04_AC00_Home::,301
"2024-12-09 16:02:21",CP04_AC01_Home,378
"2024-12-09 16:02:22",CP01_AC00_Buscar_Vuelos::,404
"2024-12-09 16:02:22",CP01_AC00_Buscar_Vuelos::,486
"2024-12-09 16:02:23",CP01_AC01_Buscar,486
"2024-12-09 16:02:24",CP02_AC00_SeleccionaVuelo::,344
"2024-12-09 16:02:25",CP04_AC01_Home,301
"2024-12-09 16:02:25",CP01_AC00_Buscar_Vuelos::,448
"2024-12-09 16:02:27",CP01_AC01_Buscar,404
