Time,Label,Elapsed
"2025-01-22 10:37:46",CP02_AC00_SeleccionaVuelo::,695
"2025-01-22 10:37:46",CP02_AC01_SeleccionaVuelo,695
"2025-01-22 10:37:47",CP03_AC00_Comprar_Vuelo::,772
"2025-01-22 10:37:47",CP03_AC01_Comprar_Vuelo_Pursache,480
"2025-01-22 10:37:48",CP03_AC02_Comprar_Vuelo_Confirmacion,292
"2025-01-22 10:37:48",CP04_AC01_Home,295
"2025-01-22 10:37:48",CP04_AC00_Home::,295
"2025-01-22 10:37:55",CP01_AC00_Buscar_Vuelos::,379
"2025-01-22 10:37:55",CP01_AC01_Buscar,379
"2025-01-22 10:37:55",CP02_AC00_SeleccionaVuelo::,898
"2025-01-22 10:37:55",CP02_AC01_SeleccionaVuelo,898
"2025-01-22 10:37:56",CP03_AC01_Comprar_Vuelo_Pursache,604
"2025-01-22 10:37:56",CP03_AC00_Comprar_Vuelo::,1015
"2025-01-22 10:37:57",CP03_AC02_Comprar_Vuelo_Confirmacion,411
"2025-01-22 10:37:57",CP04_AC01_Home,742
"2025-01-22 10:37:57",CP04_AC00_Home::,742
