Time,Label,Elapsed
"2025-02-27 16:43:15",CP01_AC00_Buscar_Vuelos::,786
"2025-02-27 16:43:15",CP01_AC01_Buscar,786
"2025-02-27 16:43:16",CP02_AC00_SeleccionaVuelo::,369
"2025-02-27 16:43:20",CP02_AC01_SeleccionaVuelo,369
"2025-02-27 16:43:21",CP03_AC00_Comprar_Vuelo::,660
"2025-02-27 16:43:21",CP01_AC00_Buscar_Vuelos::,524
"2025-02-27 16:43:21",CP01_AC01_Buscar,524
"2025-02-27 16:43:22",CP02_AC00_SeleccionaVuelo::,403
"2025-02-27 16:43:25",CP03_AC01_Comprar_Vuelo_Pursache,353
"2025-02-27 16:43:26",CP02_AC01_SeleccionaVuelo,403
"2025-02-27 16:43:27",CP03_AC00_Comprar_Vuelo::,590
"2025-02-27 16:43:27",CP01_AC00_Buscar_Vuelos::,389
"2025-02-27 16:43:27",CP01_AC01_Buscar,389
"2025-02-27 16:43:28",CP02_AC00_SeleccionaVuelo::,281
"2025-02-27 16:43:30",CP03_AC02_Comprar_Vuelo_Confirmacion,307
"2025-02-27 16:43:31",CP04_AC00_Home::,490
"2025-02-27 16:43:31",CP03_AC01_Comprar_Vuelo_Pursache,306
"2025-02-27 16:43:32",CP02_AC01_SeleccionaVuelo,281
"2025-02-27 16:43:33",CP03_AC00_Comprar_Vuelo::,586
"2025-02-27 16:43:34",CP01_AC00_Buscar_Vuelos::,423
"2025-02-27 16:43:34",CP01_AC01_Buscar,423
"2025-02-27 16:43:34",CP02_AC00_SeleccionaVuelo::,281
"2025-02-27 16:43:35",CP04_AC01_Home,490
"2025-02-27 16:43:36",CP01_AC00_Buscar_Vuelos::,398
"2025-02-27 16:43:36",CP03_AC02_Comprar_Vuelo_Confirmacion,284
"2025-02-27 16:43:37",CP04_AC00_Home::,260
"2025-02-27 16:43:37",CP03_AC01_Comprar_Vuelo_Pursache,255
"2025-02-27 16:43:39",CP02_AC01_SeleccionaVuelo,281
"2025-02-27 16:43:39",CP03_AC00_Comprar_Vuelo::,735
"2025-02-27 16:43:40",CP01_AC00_Buscar_Vuelos::,537
"2025-02-27 16:43:40",CP01_AC01_Buscar,537
"2025-02-27 16:43:40",CP01_AC01_Buscar,398
"2025-02-27 16:43:40",CP02_AC00_SeleccionaVuelo::,271
"2025-02-27 16:43:41",CP02_AC00_SeleccionaVuelo::,237
"2025-02-27 16:43:41",CP04_AC01_Home,260
"2025-02-27 16:43:42",CP01_AC00_Buscar_Vuelos::,429
"2025-02-27 16:43:42",CP03_AC02_Comprar_Vuelo_Confirmacion,331
"2025-02-27 16:43:43",CP04_AC00_Home::,286
"2025-02-27 16:43:44",CP03_AC01_Comprar_Vuelo_Pursache,352
"2025-02-27 16:43:45",CP02_AC01_SeleccionaVuelo,271
"2025-02-27 16:43:45",CP03_AC00_Comprar_Vuelo::,655
"2025-02-27 16:43:45",CP02_AC01_SeleccionaVuelo,237
"2025-02-27 16:43:46",CP03_AC00_Comprar_Vuelo::,722
"2025-02-27 16:43:46",CP01_AC00_Buscar_Vuelos::,437
"2025-02-27 16:43:46",CP01_AC01_Buscar,437
"2025-02-27 16:43:46",CP02_AC00_SeleccionaVuelo::,717
"2025-02-27 16:43:46",CP01_AC01_Buscar,429
"2025-02-27 16:43:47",CP02_AC00_SeleccionaVuelo::,283
"2025-02-27 16:43:47",CP04_AC01_Home,286
"2025-02-27 16:43:48",CP01_AC00_Buscar_Vuelos::,426
"2025-02-27 16:43:49",CP03_AC02_Comprar_Vuelo_Confirmacion,383
"2025-02-27 16:43:49",CP04_AC00_Home::,329
"2025-02-27 16:43:50",CP03_AC01_Comprar_Vuelo_Pursache,323
"2025-02-27 16:43:50",CP03_AC01_Comprar_Vuelo_Pursache,396
"2025-02-27 16:43:51",CP02_AC01_SeleccionaVuelo,717
"2025-02-27 16:43:51",CP02_AC01_SeleccionaVuelo,283
"2025-02-27 16:43:52",CP03_AC00_Comprar_Vuelo::,783
"2025-02-27 16:43:52",CP03_AC00_Comprar_Vuelo::,693
"2025-02-27 16:43:52",CP01_AC00_Buscar_Vuelos::,359
"2025-02-27 16:43:52",CP01_AC01_Buscar,359
"2025-02-27 16:43:52",CP02_AC00_SeleccionaVuelo::,333
"2025-02-27 16:43:52",CP01_AC01_Buscar,426
"2025-02-27 16:43:53",CP02_AC00_SeleccionaVuelo::,494
"2025-02-27 16:43:54",CP04_AC01_Home,329
"2025-02-27 16:43:54",CP01_AC00_Buscar_Vuelos::,327
"2025-02-27 16:43:55",CP03_AC02_Comprar_Vuelo_Confirmacion,332
"2025-02-27 16:43:55",CP04_AC00_Home::,240
"2025-02-27 16:43:55",CP03_AC02_Comprar_Vuelo_Confirmacion,326
"2025-02-27 16:43:56",CP04_AC00_Home::,362
"2025-02-27 16:43:56",CP03_AC01_Comprar_Vuelo_Pursache,498
"2025-02-27 16:43:56",CP03_AC01_Comprar_Vuelo_Pursache,302
"2025-02-27 16:43:57",CP02_AC01_SeleccionaVuelo,333
"2025-02-27 16:43:57",CP03_AC00_Comprar_Vuelo::,533
"2025-02-27 16:43:57",CP02_AC01_SeleccionaVuelo,494
"2025-02-27 16:43:58",CP03_AC00_Comprar_Vuelo::,646
"2025-02-27 16:43:58",CP01_AC00_Buscar_Vuelos::,409
"2025-02-27 16:43:58",CP01_AC01_Buscar,409
"2025-02-27 16:43:59",CP02_AC00_SeleccionaVuelo::,274
"2025-02-27 16:43:59",CP01_AC01_Buscar,327
"2025-02-27 16:43:59",CP02_AC00_SeleccionaVuelo::,391
"2025-02-27 16:44:00",CP04_AC01_Home,240
"2025-02-27 16:44:00",CP01_AC00_Buscar_Vuelos::,395
"2025-02-27 16:44:00",CP04_AC01_Home,362
"2025-02-27 16:44:01",CP01_AC00_Buscar_Vuelos::,374
"2025-02-27 16:44:01",CP03_AC02_Comprar_Vuelo_Confirmacion,274
"2025-02-27 16:44:01",CP01_AC00_Buscar_Vuelos::,389
"2025-02-27 16:44:01",CP03_AC02_Comprar_Vuelo_Confirmacion,391
"2025-02-27 16:44:02",CP04_AC00_Home::,235
"2025-02-27 16:44:02",CP03_AC01_Comprar_Vuelo_Pursache,298
"2025-02-27 16:44:02",CP03_AC01_Comprar_Vuelo_Pursache,327
"2025-02-27 16:44:03",CP02_AC01_SeleccionaVuelo,274
"2025-02-27 16:44:03",CP03_AC00_Comprar_Vuelo::,661
"2025-02-27 16:44:04",CP02_AC01_SeleccionaVuelo,391
"2025-02-27 16:44:04",CP03_AC00_Comprar_Vuelo::,617
"2025-02-27 16:44:04",CP01_AC00_Buscar_Vuelos::,354
"2025-02-27 16:44:04",CP01_AC01_Buscar,354
"2025-02-27 16:44:05",CP02_AC00_SeleccionaVuelo::,285
"2025-02-27 16:44:05",CP01_AC01_Buscar,395
"2025-02-27 16:44:05",CP02_AC00_SeleccionaVuelo::,296
"2025-02-27 16:44:05",CP01_AC01_Buscar,374
"2025-02-27 16:44:06",CP02_AC00_SeleccionaVuelo::,244
"2025-02-27 16:44:06",CP01_AC01_Buscar,389
"2025-02-27 16:44:06",CP02_AC00_SeleccionaVuelo::,273
"2025-02-27 16:44:06",CP04_AC01_Home,235
"2025-02-27 16:44:07",CP01_AC00_Buscar_Vuelos::,420
"2025-02-27 16:44:07",CP03_AC02_Comprar_Vuelo_Confirmacion,235
"2025-02-27 16:44:07",CP04_AC00_Home::,282
"2025-02-27 16:44:07",CP03_AC02_Comprar_Vuelo_Confirmacion,319
"2025-02-27 16:44:08",CP04_AC00_Home::,250
"2025-02-27 16:44:08",CP03_AC01_Comprar_Vuelo_Pursache,313
"2025-02-27 16:44:09",CP03_AC01_Comprar_Vuelo_Pursache,294
"2025-02-27 16:44:09",CP02_AC01_SeleccionaVuelo,285
"2025-02-27 16:44:10",CP03_AC00_Comprar_Vuelo::,655
"2025-02-27 16:44:10",CP02_AC01_SeleccionaVuelo,296
"2025-02-27 16:44:10",CP03_AC00_Comprar_Vuelo::,665
"2025-02-27 16:44:10",CP02_AC01_SeleccionaVuelo,244
"2025-02-27 16:44:10",CP01_AC00_Buscar_Vuelos::,412
"2025-02-27 16:44:10",CP01_AC01_Buscar,412
"2025-02-27 16:44:11",CP03_AC00_Comprar_Vuelo::,762
"2025-02-27 16:44:11",CP02_AC00_SeleccionaVuelo::,272
"2025-02-27 16:44:11",CP02_AC01_SeleccionaVuelo,273
"2025-02-27 16:44:11",CP03_AC00_Comprar_Vuelo::,520
"2025-02-27 16:44:11",CP01_AC01_Buscar,420
"2025-02-27 16:44:12",CP02_AC00_SeleccionaVuelo::,398
"2025-02-27 16:44:12",CP04_AC01_Home,282
"2025-02-27 16:44:12",CP01_AC00_Buscar_Vuelos::,393
"2025-02-27 16:44:12",CP04_AC01_Home,250
"2025-02-27 16:44:13",CP01_AC00_Buscar_Vuelos::,388
"2025-02-27 16:44:13",CP03_AC02_Comprar_Vuelo_Confirmacion,348
"2025-02-27 16:44:13",CP04_AC00_Home::,335
"2025-02-27 16:44:14",CP03_AC02_Comprar_Vuelo_Confirmacion,323
"2025-02-27 16:44:14",CP04_AC00_Home::,273
"2025-02-27 16:44:14",CP03_AC01_Comprar_Vuelo_Pursache,330
"2025-02-27 16:44:15",CP03_AC01_Comprar_Vuelo_Pursache,394
"2025-02-27 16:44:15",CP03_AC01_Comprar_Vuelo_Pursache,429
"2025-02-27 16:44:15",CP02_AC01_SeleccionaVuelo,272
"2025-02-27 16:44:16",CP03_AC00_Comprar_Vuelo::,608
"2025-02-27 16:44:16",CP03_AC01_Comprar_Vuelo_Pursache,260
"2025-02-27 16:44:16",CP02_AC01_SeleccionaVuelo,398
"2025-02-27 16:44:16",CP01_AC00_Buscar_Vuelos::,522
"2025-02-27 16:44:16",CP01_AC01_Buscar,522
"2025-02-27 16:44:17",CP03_AC00_Comprar_Vuelo::,588
"2025-02-27 16:44:17",CP01_AC01_Buscar,393
"2025-02-27 16:44:17",CP02_AC00_SeleccionaVuelo::,265
"2025-02-27 16:44:17",CP02_AC00_SeleccionaVuelo::,291
"2025-02-27 16:44:17",CP01_AC01_Buscar,388
"2025-02-27 16:44:18",CP02_AC00_SeleccionaVuelo::,274
"2025-02-27 16:44:18",CP04_AC01_Home,335
"2025-02-27 16:44:18",CP01_AC00_Buscar_Vuelos::,369
"2025-02-27 16:44:19",CP04_AC01_Home,273
"2025-02-27 16:44:19",CP01_AC00_Buscar_Vuelos::,411
"2025-02-27 16:44:19",CP03_AC02_Comprar_Vuelo_Confirmacion,325
"2025-02-27 16:44:20",CP04_AC00_Home::,346
"2025-02-27 16:44:20",CP03_AC02_Comprar_Vuelo_Confirmacion,271
"2025-02-27 16:44:20",CP04_AC00_Home::,278
"2025-02-27 16:44:20",CP03_AC02_Comprar_Vuelo_Confirmacion,333
"2025-02-27 16:44:20",CP03_AC01_Comprar_Vuelo_Pursache,299
"2025-02-27 16:44:21",CP04_AC00_Home::,346
"2025-02-27 16:44:21",CP03_AC02_Comprar_Vuelo_Confirmacion,260
"2025-02-27 16:44:21",CP04_AC00_Home::,264
"2025-02-27 16:44:21",CP03_AC01_Comprar_Vuelo_Pursache,303
"2025-02-27 16:44:21",CP02_AC01_SeleccionaVuelo,265
"2025-02-27 16:44:22",CP03_AC00_Comprar_Vuelo::,489
"2025-02-27 16:44:22",CP02_AC01_SeleccionaVuelo,291
