Time,ActiveThreads
"2024-12-09 09:43:23",1
"2024-12-09 09:43:30",2
"2024-12-09 09:43:35",2
"2024-12-09 09:43:36",3
"2024-12-09 09:43:42",3
"2024-12-09 09:43:43",4
"2024-12-09 09:43:47",4
"2024-12-09 09:43:48",4
"2024-12-09 09:43:50",5
"2024-12-09 09:43:54",5
"2024-12-09 09:43:55",5
"2024-12-09 09:43:56",6
"2024-12-09 09:43:59",6
"2024-12-09 09:44:00",6
"2024-12-09 09:44:02",6
"2024-12-09 09:44:03",7
"2024-12-09 09:44:06",7
"2024-12-09 09:44:07",7
"2024-12-09 09:44:08",7
"2024-12-09 09:44:10",8
"2024-12-09 09:44:11",8
"2024-12-09 09:44:12",8
"2024-12-09 09:44:14",8
"2024-12-09 09:44:15",8
"2024-12-09 09:44:16",9
"2024-12-09 09:44:18",9
"2024-12-09 09:44:19",9
"2024-12-09 09:44:20",9
"2024-12-09 09:44:22",9
"2024-12-09 09:44:23",10
"2024-12-09 09:44:23",10
"2024-12-09 09:44:24",10
"2024-12-09 09:44:26",10
"2024-12-09 09:44:27",10
"2024-12-09 09:44:28",10
"2024-12-09 09:44:30",10
"2024-12-09 09:44:31",10
"2024-12-09 09:44:32",10
"2024-12-09 09:44:34",10
"2024-12-09 09:44:35",10
"2024-12-09 09:44:35",10
"2024-12-09 09:44:36",10
"2024-12-09 09:44:38",10
"2024-12-09 09:44:39",10
"2024-12-09 09:44:40",10
"2024-12-09 09:44:42",10
"2024-12-09 09:44:43",10
"2024-12-09 09:44:44",10
"2024-12-09 09:44:46",10
"2024-12-09 09:44:47",10
"2024-12-09 09:44:47",10
"2024-12-09 09:44:48",10
"2024-12-09 09:44:50",10
"2024-12-09 09:44:51",10
"2024-12-09 09:44:52",10
"2024-12-09 09:44:54",10
"2024-12-09 09:44:55",10
"2024-12-09 09:44:56",10
"2024-12-09 09:44:58",10
"2024-12-09 09:44:59",10
"2024-12-09 09:44:59",10
"2024-12-09 09:45:00",10
"2024-12-09 09:45:02",10
"2024-12-09 09:45:03",10
"2024-12-09 09:45:04",10
"2024-12-09 09:45:06",10
"2024-12-09 09:45:07",10
"2024-12-09 09:45:08",10
"2024-12-09 09:45:10",10
"2024-12-09 09:45:11",10
"2024-12-09 09:45:11",10
"2024-12-09 09:45:12",10
"2024-12-09 09:45:14",10
"2024-12-09 09:45:15",10
"2024-12-09 09:45:16",10
"2024-12-09 09:45:18",10
"2024-12-09 09:45:19",10
"2024-12-09 09:45:20",10
"2024-12-09 09:45:22",10
"2024-12-09 09:45:23",10
"2024-12-09 09:45:23",10
"2024-12-09 09:45:24",10
"2024-12-09 09:45:26",10
"2024-12-09 09:45:27",10
"2024-12-09 09:45:28",10
"2024-12-09 09:45:29",11
"2024-12-09 09:45:30",11
"2024-12-09 09:45:31",11
"2024-12-09 09:45:32",11
"2024-12-09 09:45:34",11
"2024-12-09 09:45:35",12
"2024-12-09 09:45:35",12
"2024-12-09 09:45:35",12
"2024-12-09 09:45:36",12
"2024-12-09 09:45:38",12
"2024-12-09 09:45:39",12
"2024-12-09 09:45:40",12
"2024-12-09 09:45:41",13
"2024-12-09 09:45:41",13
"2024-12-09 09:45:42",13
"2024-12-09 09:45:43",13
"2024-12-09 09:45:44",13
"2024-12-09 09:45:46",13
"2024-12-09 09:45:47",14
"2024-12-09 09:45:47",14
"2024-12-09 09:45:47",14
"2024-12-09 09:45:47",14
"2024-12-09 09:45:48",14
"2024-12-09 09:45:50",14
"2024-12-09 09:45:51",14
"2024-12-09 09:45:52",14
"2024-12-09 09:45:53",15
"2024-12-09 09:45:53",15
"2024-12-09 09:45:53",15
"2024-12-09 09:45:54",15
"2024-12-09 09:45:55",15
"2024-12-09 09:45:56",15
"2024-12-09 09:45:58",15
"2024-12-09 09:45:59",16
"2024-12-09 09:45:59",16
"2024-12-09 09:45:59",16
"2024-12-09 09:45:59",16
"2024-12-09 09:45:59",16
"2024-12-09 09:46:00",16
"2024-12-09 09:46:02",16
"2024-12-09 09:46:03",16
"2024-12-09 09:46:04",16
"2024-12-09 09:46:05",17
"2024-12-09 09:46:05",17
"2024-12-09 09:46:05",17
"2024-12-09 09:46:05",17
"2024-12-09 09:46:06",17
"2024-12-09 09:46:07",17
"2024-12-09 09:46:08",17
"2024-12-09 09:46:10",17
"2024-12-09 09:46:11",18
"2024-12-09 09:46:11",18
"2024-12-09 09:46:11",18
"2024-12-09 09:46:11",18
"2024-12-09 09:46:11",18
"2024-12-09 09:46:11",18
"2024-12-09 09:46:12",18
"2024-12-09 09:46:14",18
"2024-12-09 09:46:15",18
"2024-12-09 09:46:16",18
"2024-12-09 09:46:17",19
"2024-12-09 09:46:17",19
"2024-12-09 09:46:17",19
"2024-12-09 09:46:17",19
"2024-12-09 09:46:17",19
"2024-12-09 09:46:18",19
"2024-12-09 09:46:19",19
"2024-12-09 09:46:20",19
"2024-12-09 09:46:22",19
"2024-12-09 09:46:23",20
"2024-12-09 09:46:23",20
"2024-12-09 09:46:23",20
"2024-12-09 09:46:23",20
"2024-12-09 09:46:23",20
"2024-12-09 09:46:23",20
"2024-12-09 09:46:23",20
"2024-12-09 09:46:24",20
"2024-12-09 09:46:26",20
"2024-12-09 09:46:27",20
"2024-12-09 09:46:28",20
"2024-12-09 09:46:29",20
"2024-12-09 09:46:29",20
"2024-12-09 09:46:29",20
"2024-12-09 09:46:29",20
"2024-12-09 09:46:29",20
"2024-12-09 09:46:30",20
"2024-12-09 09:46:31",20
"2024-12-09 09:46:32",20
"2024-12-09 09:46:34",20
"2024-12-09 09:46:35",20
"2024-12-09 09:46:35",20
"2024-12-09 09:46:35",20
"2024-12-09 09:46:35",20
"2024-12-09 09:46:35",20
"2024-12-09 09:46:35",20
"2024-12-09 09:46:35",20
"2024-12-09 09:46:36",20
"2024-12-09 09:46:38",20
"2024-12-09 09:46:39",20
"2024-12-09 09:46:40",20
"2024-12-09 09:46:41",20
"2024-12-09 09:46:41",20
"2024-12-09 09:46:41",20
"2024-12-09 09:46:41",20
"2024-12-09 09:46:41",20
"2024-12-09 09:46:42",20
"2024-12-09 09:46:43",20
"2024-12-09 09:46:44",20
